bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  [FE]  StringIndexOutOfBoundsException  [FE]    StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length());  [BUGGY]  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	add	StringWriter  writer  =  new  StringWriter(input.length());	StringWriter  writer  =  new  StringWriter(input.length()  *  2);  	compilable	  [FE]  StringIndexOutOfBoundsException  	4	1	replace
2	[BUG]  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length());  [FE]  StringIndexOutOfBoundsException  [FE]    StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length());  [BUGGY]  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	replace	StringWriter  writer  =  new  StringWriter(input.length());	StringWriter  writer  =  new  StringWriter(input.length()  *  2);  	compilable	  [FE]  StringIndexOutOfBoundsException  	4	1	replace
3	[BUG]  [BUGGY]  [FE]  StringIndexOutOfBoundsException  [FE]      StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length()  -  2);  [BUGGY]  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	add	StringWriter  writer  =  new  StringWriter(input.length()  -  2);	StringWriter  writer  =  new  StringWriter(input.length()  *  2);  	compilable	  [FE]  StringIndexOutOfBoundsException  	4	1	replace
4	[BUG]  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length()  -  2);  [FE]  StringIndexOutOfBoundsException  [FE]      StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length()  -  2);  [BUGGY]  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	replace	StringWriter  writer  =  new  StringWriter(input.length()  -  2);	StringWriter  writer  =  new  StringWriter(input.length()  *  2);  	compilable	  [FE]  StringIndexOutOfBoundsException  	4	1	replace
5	[BUG]  [BUGGY]  [FE]  StringIndexOutOfBoundsException  [FE]        StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length()  /  2);  [BUGGY]  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	add	StringWriter  writer  =  new  StringWriter(input.length()  /  2);	StringWriter  writer  =  new  StringWriter(input.length()  *  2);  	compilable	  [FE]  StringIndexOutOfBoundsException  	4	1	replace
6	[BUG]  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length()  /  2);  [FE]  StringIndexOutOfBoundsException  [FE]        StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length()  /  2);  [BUGGY]  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	replace	StringWriter  writer  =  new  StringWriter(input.length()  /  2);	StringWriter  writer  =  new  StringWriter(input.length()  *  2);  	compilable	  [FE]  StringIndexOutOfBoundsException  	4	1	replace
7	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  writer  [FE]          StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]    [BUGGY]  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	replace	  	StringWriter  writer  =  new  StringWriter(input.length()  *  2);  	non-compiled	[CE]  cannot  find  symbol  writer	4	None	replace
8	[BUG]  [BUGGY]    StringWriter  writer  =  new  StringWriter(input.length()  *  2);  translate(input,  writer);  [CE]  variable  writer  is  already  defined  in  method  translate(CharSequence)  [FE]    StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]    StringWriter  writer  =  new  StringWriter(input.length()  *  2);  translate(input,  writer);  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length()  *  2);  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	replace	    StringWriter  writer  =  new  StringWriter(input.length()  *  2);  translate(input,  writer);		non-compiled	[CE]  variable  writer  is  already  defined  in  method  translate(CharSequence)	5	None	add
9	[BUG]  [BUGGY]    StringWriter  writer  =  new  StringWriter(Input.length()  *  2);  translate(input,  writer);  [CE]  cannot  find  symbol  Input  [FE]      StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]    StringWriter  writer  =  new  StringWriter(Input.length()  *  2);  translate(input,  writer);  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length()  *  2);  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	replace	    StringWriter  writer  =  new  StringWriter(Input.length()  *  2);  translate(input,  writer);		non-compiled	[CE]  cannot  find  symbol  Input	5	None	add
10	[BUG]  [BUGGY]    StringWriter  writer  =  new  StringWriter(input.length()  *  3);  translate(input,  writer);  [CE]  variable  writer  is  already  defined  in  method  translate(CharSequence)  [FE]        StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]    StringWriter  writer  =  new  StringWriter(input.length()  *  3);  translate(input,  writer);  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length()  *  2);  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	replace	    StringWriter  writer  =  new  StringWriter(input.length()  *  3);  translate(input,  writer);		non-compiled	[CE]  variable  writer  is  already  defined  in  method  translate(CharSequence)	5	None	add
11	[BUG]  [BUGGY]    StringWriter  writer  =  new  StringWriter(input.length()  *  2);  translate(input,  reader);  [CE]  cannot  find  symbol  reader  [FE]          StringIndexOutOfBoundsException  [CONTEXT]  public  final  String  translate(CharSequence  input)  {  if  (input  ==  null)  {  return  null;  }  try  {  [BUGGY]    StringWriter  writer  =  new  StringWriter(input.length()  *  2);  translate(input,  reader);  [BUGGY]  StringWriter  writer  =  new  StringWriter(input.length()  *  2);  translate(input,  writer);  return  writer.toString();  }  catch  (IOException  ioe)  {  throw  new  RuntimeException(ioe);  }  }  [CLASS]  CharSequenceTranslator  [METHOD]  translate  [RETURN_TYPE]  String  CharSequence  input  [VARIABLES]  boolean  StringWriter  writer  CharSequence  input  IOException  ioe  	projects/Lang6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java	1.0	58	58	1	replace	    StringWriter  writer  =  new  StringWriter(input.length()  *  2);  translate(input,  reader);		non-compiled	[CE]  cannot  find  symbol  reader	5	None	add
