bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  OptionComparator.this.defaultDescPad  =  defaultDescPad  +  2;  [CE]  <identifier>  expected  [FE]              RuntimeException      [CONTEXT]        [BUGGY]  OptionComparator.this.defaultDescPad  =  defaultDescPad  +  2;  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	OptionComparator.this.defaultDescPad  =  defaultDescPad  +  2;	  OptionComparator.this.defaultDescPad    =    defaultDescPad    +    1;    	non-compiled	[CE]  <identifier>  expected	63	None	replace
2	[BUG]  [BUGGY]  OptionComparator.this.defaultDescPad  =  defaultDescPad  /  1;  [CE]  <identifier>  expected  [FE]                RuntimeException      [CONTEXT]        [BUGGY]  OptionComparator.this.defaultDescPad  =  defaultDescPad  /  1;  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	OptionComparator.this.defaultDescPad  =  defaultDescPad  /  1;	  OptionComparator.this.defaultDescPad    =    defaultDescPad    +    1;    	non-compiled	[CE]  <identifier>  expected	63	None	replace
3	[BUG]  [BUGGY]  OptionComparator.this.defaultDescPad  =  defaultDescPad  -  1;  [CE]  <identifier>  expected  [FE]                  RuntimeException      [CONTEXT]        [BUGGY]  OptionComparator.this.defaultDescPad  =  defaultDescPad  -  1;  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	OptionComparator.this.defaultDescPad  =  defaultDescPad  -  1;	  OptionComparator.this.defaultDescPad    =    defaultDescPad    +    1;    	non-compiled	[CE]  <identifier>  expected	63	None	replace
4	[BUG]  [BUGGY]  DefaultDescpad  =  System.currentTimeMillis()  +  1;  [CE]  <identifier>  expected  [FE]                RuntimeException      [CONTEXT]        [BUGGY]  DefaultDescpad  =  System.currentTimeMillis()  +  1;  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	DefaultDescpad  =  System.currentTimeMillis()  +  1;	  DefaultDescpad    =    System.currentTimeMillis();    	non-compiled	[CE]  <identifier>  expected	51	None	replace
5	[BUG]  [BUGGY]  DefaultDescpad  =  System.currentTimeMillis()  -  1;  [CE]  <identifier>  expected  [FE]                  RuntimeException      [CONTEXT]        [BUGGY]  DefaultDescpad  =  System.currentTimeMillis()  -  1;  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	DefaultDescpad  =  System.currentTimeMillis()  -  1;	  DefaultDescpad    =    System.currentTimeMillis();    	non-compiled	[CE]  <identifier>  expected	51	None	replace
6	[BUG]  [BUGGY]  public  int  defaultDescPad  =  DEFAULT_DESC_PAD  /  1L;  [CE]  <identifier>  expected  [FE]                    RuntimeException      [CONTEXT]        [BUGGY]  public  int  defaultDescPad  =  DEFAULT_DESC_PAD  /  1L;  [BUGGY]        [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	public  int  defaultDescPad  =  DEFAULT_DESC_PAD  /  1L;	  public    int    defaultDescPad    =    DEFAULT_DESC_PAD    +    1L;    	non-compiled	[CE]  <identifier>  expected	34	None	replace
7	[BUG]  [BUGGY]  public  int  defaultDescPad  =  1L  +  DEFAULT_DESC_PAD;  [CE]  <identifier>  expected  [FE]                      RuntimeException      [CONTEXT]        [BUGGY]  public  int  defaultDescPad  =  1L  +  DEFAULT_DESC_PAD;  [BUGGY]        [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	public  int  defaultDescPad  =  1L  +  DEFAULT_DESC_PAD;	  public    int    defaultDescPad    =    DEFAULT_DESC_PAD    +    1L;    	non-compiled	[CE]  <identifier>  expected	34	None	replace
8	[BUG]  [BUGGY]  public  String  defaultDescPad  =  DUPLICATE_DESC_PAD;  [CE]  <identifier>  expected  [FE]              RuntimeException      [CONTEXT]        [BUGGY]  public  String  defaultDescPad  =  DUPLICATE_DESC_PAD;  [BUGGY]        [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	public  String  defaultDescPad  =  DUPLICATE_DESC_PAD;	  public    String    defaultDescPad    =    DUFAULT_DESC_PAD;    	non-compiled	[CE]  <identifier>  expected	50	None	replace
9	[BUG]  [BUGGY]  public  String  defaultDescPad  =  DUFAULT_DESC_PAD  +  1;  [CE]  <identifier>  expected  [FE]                RuntimeException      [CONTEXT]        [BUGGY]  public  String  defaultDescPad  =  DUFAULT_DESC_PAD  +  1;  [BUGGY]        [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	public  String  defaultDescPad  =  DUFAULT_DESC_PAD  +  1;	  public    String    defaultDescPad    =    DUFAULT_DESC_PAD;    	non-compiled	[CE]  <identifier>  expected	50	None	replace
10	[BUG]  [BUGGY]  public  String  defaultDescPad  =  this.defaultDescPad;  [CE]  <identifier>  expected  [FE]                  RuntimeException      [CONTEXT]        [BUGGY]  public  String  defaultDescPad  =  this.defaultDescPad;  [BUGGY]        [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	public  String  defaultDescPad  =  this.defaultDescPad;	  public    String    defaultDescPad    =    DUFAULT_DESC_PAD;    	non-compiled	[CE]  <identifier>  expected	50	None	replace
11	[BUG]  [BUGGY]  this.defaultDescPad  =  System.currentTimeMillis()  +  1;  [CE]  <identifier>  expected  [FE]                RuntimeException      [CONTEXT]        [BUGGY]  this.defaultDescPad  =  System.currentTimeMillis()  +  1;  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	this.defaultDescPad  =  System.currentTimeMillis()  +  1;	  this.defaultDescPad    =    System.currentTimeMillis();    	non-compiled	[CE]  <identifier>  expected	75	None	replace
12	[BUG]  [BUGGY]  this.defaultDescPad  =  System.currentTimeMillis()  -  1;  [CE]  <identifier>  expected  [FE]                  RuntimeException      [CONTEXT]        [BUGGY]  this.defaultDescPad  =  System.currentTimeMillis()  -  1;  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	this.defaultDescPad  =  System.currentTimeMillis()  -  1;	  this.defaultDescPad    =    System.currentTimeMillis();    	non-compiled	[CE]  <identifier>  expected	75	None	replace
13	[BUG]  [BUGGY]  this.defaultDescPad  =  System.currentTimeMillis()  /  2;  [CE]  <identifier>  expected  [FE]                    RuntimeException      [CONTEXT]        [BUGGY]  this.defaultDescPad  =  System.currentTimeMillis()  /  2;  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	this.defaultDescPad  =  System.currentTimeMillis()  /  2;	  this.defaultDescPad    =    System.currentTimeMillis();    	non-compiled	[CE]  <identifier>  expected	75	None	replace
14	[BUG]  [BUGGY]  Preconditions.checkState(this.defaultDescPad  >=  0);  [CE]  <identifier>  expected  [FE]                RuntimeException      [CONTEXT]        [BUGGY]  Preconditions.checkState(this.defaultDescPad  >=  0);  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	Preconditions.checkState(this.defaultDescPad  >=  0);	  Preconditions.checkState(defaultDescPad    >=    0);    	non-compiled	[CE]  <identifier>  expected	45	None	replace
15	[BUG]  [BUGGY]  public  String  defaultDescPad  =  System.identityHashCode(DEFAULT_DESC_PAD);  [CE]  <identifier>  expected  [FE]            RuntimeException      [CONTEXT]        [BUGGY]  public  String  defaultDescPad  =  System.identityHashCode(DEFAULT_DESC_PAD);  [BUGGY]        [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	public  String  defaultDescPad  =  System.identityHashCode(DEFAULT_DESC_PAD);	  public    String    defaultDescPad    =    deFAULT_DESC_PAD;    	non-compiled	[CE]  <identifier>  expected	49	None	replace
16	[BUG]  [BUGGY]  public  String  defaultDescPad  =  System.identityHashCode(DEFAULT_DESC_PAD,  DEFAULT_DESC_PAD);  [CE]  <identifier>  expected  [FE]              RuntimeException      [CONTEXT]        [BUGGY]  public  String  defaultDescPad  =  System.identityHashCode(DEFAULT_DESC_PAD,  DEFAULT_DESC_PAD);  [BUGGY]        [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	public  String  defaultDescPad  =  System.identityHashCode(DEFAULT_DESC_PAD,  DEFAULT_DESC_PAD);	  public    String    defaultDescPad    =    deFAULT_DESC_PAD;    	non-compiled	[CE]  <identifier>  expected	49	None	replace
17	[BUG]  [BUGGY]  public  String  defaultDescPad  =  DEFAULT_DESC_PAD  +  1;  [CE]  <identifier>  expected  [FE]                RuntimeException      [CONTEXT]        [BUGGY]  public  String  defaultDescPad  =  DEFAULT_DESC_PAD  +  1;  [BUGGY]        [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	public  String  defaultDescPad  =  DEFAULT_DESC_PAD  +  1;	  public    String    defaultDescPad    =    deFAULT_DESC_PAD;    	non-compiled	[CE]  <identifier>  expected	49	None	replace
18	[BUG]  [BUGGY]  Sets.newHashSet(Arrays.asList(this));  [CE]  <identifier>  expected  [FE]                    RuntimeException      [CONTEXT]        [BUGGY]  Sets.newHashSet(Arrays.asList(this));  [BUGGY]        [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	Sets.newHashSet(Arrays.asList(this));	  Sets.newHashSet();    	non-compiled	[CE]  <identifier>  expected	71	None	replace
19	[BUG]  [BUGGY]  Sets.newHashSet(Arrays.asList(identifiers));  [CE]  <identifier>  expected  [FE]                      RuntimeException      [CONTEXT]        [BUGGY]  Sets.newHashSet(Arrays.asList(identifiers));  [BUGGY]        [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	Sets.newHashSet(Arrays.asList(identifiers));	  Sets.newHashSet();    	non-compiled	[CE]  <identifier>  expected	71	None	replace
20	[BUG]  [BUGGY]  Preconditions.checkNotNull(this,  defaultDescPad,  DEFAULT_DESC_PAD);  [CE]  <identifier>  expected  [FE]            RuntimeException      [CONTEXT]        [BUGGY]  Preconditions.checkNotNull(this,  defaultDescPad,  DEFAULT_DESC_PAD);  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	Preconditions.checkNotNull(this,  defaultDescPad,  DEFAULT_DESC_PAD);	  Preconditions.checkNotNull(defaultDescPad,    DEFAULT_DESC_PAD);    	non-compiled	[CE]  <identifier>  expected	61	None	replace
21	[BUG]  [BUGGY]  Preconditions.checkState(this.defaultDescPad!=  DEFAULT_DESC_PAD);  [CE]  <identifier>  expected  [FE]              RuntimeException      [CONTEXT]        [BUGGY]  Preconditions.checkState(this.defaultDescPad!=  DEFAULT_DESC_PAD);  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	Preconditions.checkState(this.defaultDescPad!=  DEFAULT_DESC_PAD);	  Preconditions.checkNotNull(defaultDescPad,    DEFAULT_DESC_PAD);    	non-compiled	[CE]  <identifier>  expected	61	None	replace
22	[BUG]  [BUGGY]  Preconditions.checkState(this.defaultDescPad  ==  DEFAULT_DESC_PAD);  [CE]  <identifier>  expected  [FE]                RuntimeException      [CONTEXT]        [BUGGY]  Preconditions.checkState(this.defaultDescPad  ==  DEFAULT_DESC_PAD);  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	Preconditions.checkState(this.defaultDescPad  ==  DEFAULT_DESC_PAD);	  Preconditions.checkNotNull(defaultDescPad,    DEFAULT_DESC_PAD);    	non-compiled	[CE]  <identifier>  expected	61	None	replace
23	[BUG]  [BUGGY]  Preconditions.checkState(this.defaultDescPad  ==  1);  [CE]  <identifier>  expected  [FE]              RuntimeException      [CONTEXT]        [BUGGY]  Preconditions.checkState(this.defaultDescPad  ==  1);  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	Preconditions.checkState(this.defaultDescPad  ==  1);	  Preconditions.checkState(this.defaultDescPad    ==    0);    	non-compiled	[CE]  <identifier>  expected	12	None	replace
24	[BUG]  [BUGGY]  this.defaultDescPad  =  DEFAULT_DESC_PAD  +  1;  [CE]  <identifier>  expected  [FE]              RuntimeException      [CONTEXT]        [BUGGY]  this.defaultDescPad  =  DEFAULT_DESC_PAD  +  1;  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	this.defaultDescPad  =  DEFAULT_DESC_PAD  +  1;	  this.defaultDescPad    =    DEFAULT_DEC_PAD;    	non-compiled	[CE]  <identifier>  expected	20	None	replace
25	[BUG]  [BUGGY]  this.defaultDescPad  =  1;  [CE]  <identifier>  expected  [FE]                RuntimeException      [CONTEXT]        [BUGGY]  this.defaultDescPad  =  1;  [BUGGY]      public  int  defaultDescPad  =  DEFAULT_DESC_PAD;  [CLASS]  HelpFormatter  OptionComparator  [VARIABLES]  	projects/Cli23/src/java/org/apache/commons/cli/HelpFormatter.java	1.0	88	88	2	replace	this.defaultDescPad  =  1;	  this.defaultDescPad    =    DEFAULT_DEC_PAD;    	non-compiled	[CE]  <identifier>  expected	20	None	replace
