bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  +  2);  [CE]  ';'  expected  [FE]                          ComparisonFailure      [CONTEXT]      public  Base64(boolean  urlSafe)  {  this(MIME_CHUNK_SIZE,  CHUNK_SEPARATOR,  urlSafe);      [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  +  2);  [BUGGY]      }  [CLASS]  Base64  [METHOD]  <init>  [RETURN_TYPE]  Base64(boolean)  boolean  urlSafe  [VARIABLES]  byte[]  CHUNK_SEPARATOR  DECODE_TABLE  STANDARD_ENCODE_TABLE  URL_SAFE_ENCODE_TABLE  buffer  encodeTable  lineSeparator  boolean  eof  urlSafe  byte  PAD  int  DEFAULT_BUFFER_RESIZE_FACTOR  DEFAULT_BUFFER_SIZE  MASK_6BITS  MASK_8BITS  MIME_CHUNK_SIZE  PEM_CHUNK_SIZE  currentLinePos  decodeSize  encodeSize  lineLength  modulus  pos  readPos  x  	projects/Codec7/src/java/org/apache/commons/codec/binary/Base64.java	0.5	257	257	2	replace	System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  +  2);	  System.arraycopy(CHUNK_SEPARATOR,    0,    this,    0,    urlSafe    +    1);    	non-compiled	[CE]  ';'  expected	146	None	replace
2	[BUG]  [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  *  1);  [CE]  ';'  expected  [FE]                            ComparisonFailure      [CONTEXT]      public  Base64(boolean  urlSafe)  {  this(MIME_CHUNK_SIZE,  CHUNK_SEPARATOR,  urlSafe);      [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  *  1);  [BUGGY]      }  [CLASS]  Base64  [METHOD]  <init>  [RETURN_TYPE]  Base64(boolean)  boolean  urlSafe  [VARIABLES]  byte[]  CHUNK_SEPARATOR  DECODE_TABLE  STANDARD_ENCODE_TABLE  URL_SAFE_ENCODE_TABLE  buffer  encodeTable  lineSeparator  boolean  eof  urlSafe  byte  PAD  int  DEFAULT_BUFFER_RESIZE_FACTOR  DEFAULT_BUFFER_SIZE  MASK_6BITS  MASK_8BITS  MIME_CHUNK_SIZE  PEM_CHUNK_SIZE  currentLinePos  decodeSize  encodeSize  lineLength  modulus  pos  readPos  x  	projects/Codec7/src/java/org/apache/commons/codec/binary/Base64.java	0.5	257	257	2	replace	System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  *  1);	  System.arraycopy(CHUNK_SEPARATOR,    0,    this,    0,    urlSafe    +    1);    	non-compiled	[CE]  ';'  expected	146	None	replace
3	[BUG]  [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  +  3);  [CE]  ';'  expected  [FE]                              ComparisonFailure      [CONTEXT]      public  Base64(boolean  urlSafe)  {  this(MIME_CHUNK_SIZE,  CHUNK_SEPARATOR,  urlSafe);      [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  +  3);  [BUGGY]      }  [CLASS]  Base64  [METHOD]  <init>  [RETURN_TYPE]  Base64(boolean)  boolean  urlSafe  [VARIABLES]  byte[]  CHUNK_SEPARATOR  DECODE_TABLE  STANDARD_ENCODE_TABLE  URL_SAFE_ENCODE_TABLE  buffer  encodeTable  lineSeparator  boolean  eof  urlSafe  byte  PAD  int  DEFAULT_BUFFER_RESIZE_FACTOR  DEFAULT_BUFFER_SIZE  MASK_6BITS  MASK_8BITS  MIME_CHUNK_SIZE  PEM_CHUNK_SIZE  currentLinePos  decodeSize  encodeSize  lineLength  modulus  pos  readPos  x  	projects/Codec7/src/java/org/apache/commons/codec/binary/Base64.java	0.5	257	257	2	replace	System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  +  3);	  System.arraycopy(CHUNK_SEPARATOR,    0,    this,    0,    urlSafe    +    1);    	non-compiled	[CE]  ';'  expected	146	None	replace
4	[BUG]  [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe;  [CE]  ';'  expected  [FE]                                ComparisonFailure      [CONTEXT]      public  Base64(boolean  urlSafe)  {  this(MIME_CHUNK_SIZE,  CHUNK_SEPARATOR,  urlSafe);      [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe;  [BUGGY]      }  [CLASS]  Base64  [METHOD]  <init>  [RETURN_TYPE]  Base64(boolean)  boolean  urlSafe  [VARIABLES]  byte[]  CHUNK_SEPARATOR  DECODE_TABLE  STANDARD_ENCODE_TABLE  URL_SAFE_ENCODE_TABLE  buffer  encodeTable  lineSeparator  boolean  eof  urlSafe  byte  PAD  int  DEFAULT_BUFFER_RESIZE_FACTOR  DEFAULT_BUFFER_SIZE  MASK_6BITS  MASK_8BITS  MIME_CHUNK_SIZE  PEM_CHUNK_SIZE  currentLinePos  decodeSize  encodeSize  lineLength  modulus  pos  readPos  x  	projects/Codec7/src/java/org/apache/commons/codec/binary/Base64.java	0.5	257	257	2	replace	System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe;	  System.arraycopy(CHUNK_SEPARATOR,    0,    this,    0,    urlSafe    +    1);    	non-compiled	[CE]  ';'  expected	146	None	replace
5	[BUG]  [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  1,  urlSafe  +  1);  [CE]  ';'  expected  [FE]                                  ComparisonFailure      [CONTEXT]      public  Base64(boolean  urlSafe)  {  this(MIME_CHUNK_SIZE,  CHUNK_SEPARATOR,  urlSafe);      [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  1,  urlSafe  +  1);  [BUGGY]      }  [CLASS]  Base64  [METHOD]  <init>  [RETURN_TYPE]  Base64(boolean)  boolean  urlSafe  [VARIABLES]  byte[]  CHUNK_SEPARATOR  DECODE_TABLE  STANDARD_ENCODE_TABLE  URL_SAFE_ENCODE_TABLE  buffer  encodeTable  lineSeparator  boolean  eof  urlSafe  byte  PAD  int  DEFAULT_BUFFER_RESIZE_FACTOR  DEFAULT_BUFFER_SIZE  MASK_6BITS  MASK_8BITS  MIME_CHUNK_SIZE  PEM_CHUNK_SIZE  currentLinePos  decodeSize  encodeSize  lineLength  modulus  pos  readPos  x  	projects/Codec7/src/java/org/apache/commons/codec/binary/Base64.java	0.5	257	257	2	replace	System.arraycopy(CHUNK_SEPARATOR,  0,  this,  1,  urlSafe  +  1);	  System.arraycopy(CHUNK_SEPARATOR,    0,    this,    0,    urlSafe    +    1);    	non-compiled	[CE]  ';'  expected	146	None	replace
6	[BUG]  [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  +  4);  [CE]  ';'  expected  [FE]                                    ComparisonFailure      [CONTEXT]      public  Base64(boolean  urlSafe)  {  this(MIME_CHUNK_SIZE,  CHUNK_SEPARATOR,  urlSafe);      [BUGGY]  System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  +  4);  [BUGGY]      }  [CLASS]  Base64  [METHOD]  <init>  [RETURN_TYPE]  Base64(boolean)  boolean  urlSafe  [VARIABLES]  byte[]  CHUNK_SEPARATOR  DECODE_TABLE  STANDARD_ENCODE_TABLE  URL_SAFE_ENCODE_TABLE  buffer  encodeTable  lineSeparator  boolean  eof  urlSafe  byte  PAD  int  DEFAULT_BUFFER_RESIZE_FACTOR  DEFAULT_BUFFER_SIZE  MASK_6BITS  MASK_8BITS  MIME_CHUNK_SIZE  PEM_CHUNK_SIZE  currentLinePos  decodeSize  encodeSize  lineLength  modulus  pos  readPos  x  	projects/Codec7/src/java/org/apache/commons/codec/binary/Base64.java	0.5	257	257	2	replace	System.arraycopy(CHUNK_SEPARATOR,  0,  this,  0,  urlSafe  +  4);	  System.arraycopy(CHUNK_SEPARATOR,    0,    this,    0,    urlSafe    +    1);    	non-compiled	[CE]  ';'  expected	146	None	replace
7	[BUG]  [BUGGY]  this.currentLinePos  =  DEFAULT_BUFFER_RESIZE_FACTOR;  [CE]  ';'  expected  [FE]                              ComparisonFailure      [CONTEXT]      public  Base64(boolean  urlSafe)  {  this(MIME_CHUNK_SIZE,  CHUNK_SEPARATOR,  urlSafe);      [BUGGY]  this.currentLinePos  =  DEFAULT_BUFFER_RESIZE_FACTOR;  [BUGGY]      }  [CLASS]  Base64  [METHOD]  <init>  [RETURN_TYPE]  Base64(boolean)  boolean  urlSafe  [VARIABLES]  byte[]  CHUNK_SEPARATOR  DECODE_TABLE  STANDARD_ENCODE_TABLE  URL_SAFE_ENCODE_TABLE  buffer  encodeTable  lineSeparator  boolean  eof  urlSafe  byte  PAD  int  DEFAULT_BUFFER_RESIZE_FACTOR  DEFAULT_BUFFER_SIZE  MASK_6BITS  MASK_8BITS  MIME_CHUNK_SIZE  PEM_CHUNK_SIZE  currentLinePos  decodeSize  encodeSize  lineLength  modulus  pos  readPos  x  	projects/Codec7/src/java/org/apache/commons/codec/binary/Base64.java	0.5	257	257	2	replace	this.currentLinePos  =  DEFAULT_BUFFER_RESIZE_FACTOR;	  this.currentLinePos    =    MIME_CHUNK_SIZE;    	non-compiled	[CE]  ';'  expected	54	None	replace
8	[BUG]  [BUGGY]  this.currentLinePos  =  MIME_CHUNK_SIZE  +  1;  [CE]  ';'  expected  [FE]                                ComparisonFailure      [CONTEXT]      public  Base64(boolean  urlSafe)  {  this(MIME_CHUNK_SIZE,  CHUNK_SEPARATOR,  urlSafe);      [BUGGY]  this.currentLinePos  =  MIME_CHUNK_SIZE  +  1;  [BUGGY]      }  [CLASS]  Base64  [METHOD]  <init>  [RETURN_TYPE]  Base64(boolean)  boolean  urlSafe  [VARIABLES]  byte[]  CHUNK_SEPARATOR  DECODE_TABLE  STANDARD_ENCODE_TABLE  URL_SAFE_ENCODE_TABLE  buffer  encodeTable  lineSeparator  boolean  eof  urlSafe  byte  PAD  int  DEFAULT_BUFFER_RESIZE_FACTOR  DEFAULT_BUFFER_SIZE  MASK_6BITS  MASK_8BITS  MIME_CHUNK_SIZE  PEM_CHUNK_SIZE  currentLinePos  decodeSize  encodeSize  lineLength  modulus  pos  readPos  x  	projects/Codec7/src/java/org/apache/commons/codec/binary/Base64.java	0.5	257	257	2	replace	this.currentLinePos  =  MIME_CHUNK_SIZE  +  1;	  this.currentLinePos    =    MIME_CHUNK_SIZE;    	non-compiled	[CE]  ';'  expected	54	None	replace
9	[BUG]  [BUGGY]  this.currentLinePos  =  MIME_CHUNK_SIZE  -  1;  [CE]  ';'  expected  [FE]                                  ComparisonFailure      [CONTEXT]      public  Base64(boolean  urlSafe)  {  this(MIME_CHUNK_SIZE,  CHUNK_SEPARATOR,  urlSafe);      [BUGGY]  this.currentLinePos  =  MIME_CHUNK_SIZE  -  1;  [BUGGY]      }  [CLASS]  Base64  [METHOD]  <init>  [RETURN_TYPE]  Base64(boolean)  boolean  urlSafe  [VARIABLES]  byte[]  CHUNK_SEPARATOR  DECODE_TABLE  STANDARD_ENCODE_TABLE  URL_SAFE_ENCODE_TABLE  buffer  encodeTable  lineSeparator  boolean  eof  urlSafe  byte  PAD  int  DEFAULT_BUFFER_RESIZE_FACTOR  DEFAULT_BUFFER_SIZE  MASK_6BITS  MASK_8BITS  MIME_CHUNK_SIZE  PEM_CHUNK_SIZE  currentLinePos  decodeSize  encodeSize  lineLength  modulus  pos  readPos  x  	projects/Codec7/src/java/org/apache/commons/codec/binary/Base64.java	0.5	257	257	2	replace	this.currentLinePos  =  MIME_CHUNK_SIZE  -  1;	  this.currentLinePos    =    MIME_CHUNK_SIZE;    	non-compiled	[CE]  ';'  expected	54	None	replace
10	[BUG]  [BUGGY]  this.currentLinePos  =  MASK_8BITS;  [CE]  ';'  expected  [FE]                                    ComparisonFailure      [CONTEXT]      public  Base64(boolean  urlSafe)  {  this(MIME_CHUNK_SIZE,  CHUNK_SEPARATOR,  urlSafe);      [BUGGY]  this.currentLinePos  =  MASK_8BITS;  [BUGGY]      }  [CLASS]  Base64  [METHOD]  <init>  [RETURN_TYPE]  Base64(boolean)  boolean  urlSafe  [VARIABLES]  byte[]  CHUNK_SEPARATOR  DECODE_TABLE  STANDARD_ENCODE_TABLE  URL_SAFE_ENCODE_TABLE  buffer  encodeTable  lineSeparator  boolean  eof  urlSafe  byte  PAD  int  DEFAULT_BUFFER_RESIZE_FACTOR  DEFAULT_BUFFER_SIZE  MASK_6BITS  MASK_8BITS  MIME_CHUNK_SIZE  PEM_CHUNK_SIZE  currentLinePos  decodeSize  encodeSize  lineLength  modulus  pos  readPos  x  	projects/Codec7/src/java/org/apache/commons/codec/binary/Base64.java	0.5	257	257	2	replace	this.currentLinePos  =  MASK_8BITS;	  this.currentLinePos    =    MIME_CHUNK_SIZE;    	non-compiled	[CE]  ';'  expected	54	None	replace
