bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  [FE]  AssertionFailedError  [FE]    AssertionFailedError  [CONTEXT]  public  ArArchiveInputStream(  final  InputStream  pInput  )  {  input  =  pInput;  [BUGGY]  closed  =  true;  [BUGGY]  }  [CLASS]  ArArchiveInputStream  [METHOD]  <init>  [RETURN_TYPE]  InputStream)  InputStream  pInput  [VARIABLES]  boolean  closed  InputStream  input  pInput  long  offset  	projects/Compress2/src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java	0.7071067811865475	49	49	1	add	closed  =  true;	closed  =  false;  	compilable	  [FE]  AssertionFailedError  	9	1	replace
2	[BUG]  [BUGGY]  closed  =  true;  [FE]  AssertionFailedError  [FE]    AssertionFailedError  [CONTEXT]  public  ArArchiveInputStream(  final  InputStream  pInput  )  {  input  =  pInput;  [BUGGY]  closed  =  true;  [BUGGY]  }  [CLASS]  ArArchiveInputStream  [METHOD]  <init>  [RETURN_TYPE]  InputStream)  InputStream  pInput  [VARIABLES]  boolean  closed  InputStream  input  pInput  long  offset  	projects/Compress2/src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java	0.7071067811865475	49	49	1	replace	closed  =  true;	closed  =  false;  	compilable	  [FE]  AssertionFailedError  	9	1	replace
3	[BUG]  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  ((  ArArchiveInputStream)pInput).close();  }  [CE]  illegal  start  of  type  [FE]      AssertionFailedError  [CONTEXT]  public  ArArchiveInputStream(  final  InputStream  pInput  )  {  input  =  pInput;  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  ((  ArArchiveInputStream)pInput).close();  }  [BUGGY]  }  [CLASS]  ArArchiveInputStream  [METHOD]  <init>  [RETURN_TYPE]  InputStream)  InputStream  pInput  [VARIABLES]  boolean  closed  InputStream  input  pInput  long  offset  	projects/Compress2/src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java	0.7071067811865475	49	49	1	replace	closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  ((  ArArchiveInputStream)pInput).close();  }	closed  =  false;  	non-compiled	[CE]  illegal  start  of  type	9	None	replace
4	[BUG]  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  ((  ArArchiveInputStream)pInput).setEndOfLinks(endOfLinks);  }  [CE]  illegal  start  of  type  [FE]        AssertionFailedError  [CONTEXT]  public  ArArchiveInputStream(  final  InputStream  pInput  )  {  input  =  pInput;  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  ((  ArArchiveInputStream)pInput).setEndOfLinks(endOfLinks);  }  [BUGGY]  }  [CLASS]  ArArchiveInputStream  [METHOD]  <init>  [RETURN_TYPE]  InputStream)  InputStream  pInput  [VARIABLES]  boolean  closed  InputStream  input  pInput  long  offset  	projects/Compress2/src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java	0.7071067811865475	49	49	1	replace	closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  ((  ArArchiveInputStream)pInput).setEndOfLinks(endOfLinks);  }	closed  =  false;  	non-compiled	[CE]  illegal  start  of  type	9	None	replace
5	[BUG]  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  this.arArchiveInputStream  =(ArArchiveInputStream)pInput;  }  [CE]  illegal  start  of  type  [FE]          AssertionFailedError  [CONTEXT]  public  ArArchiveInputStream(  final  InputStream  pInput  )  {  input  =  pInput;  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  this.arArchiveInputStream  =(ArArchiveInputStream)pInput;  }  [BUGGY]  }  [CLASS]  ArArchiveInputStream  [METHOD]  <init>  [RETURN_TYPE]  InputStream)  InputStream  pInput  [VARIABLES]  boolean  closed  InputStream  input  pInput  long  offset  	projects/Compress2/src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java	0.7071067811865475	49	49	1	replace	closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  this.arArchiveInputStream  =(ArArchiveInputStream)pInput;  }	closed  =  false;  	non-compiled	[CE]  illegal  start  of  type	9	None	replace
6	[BUG]  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  this.arArchiveInputStream  =(ArArchiveInputStream)pInput;  input  =  new  ArArchiveInputStream(input);  }  [CE]  illegal  start  of  type  [FE]            AssertionFailedError  [CONTEXT]  public  ArArchiveInputStream(  final  InputStream  pInput  )  {  input  =  pInput;  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  this.arArchiveInputStream  =(ArArchiveInputStream)pInput;  input  =  new  ArArchiveInputStream(input);  }  [BUGGY]  }  [CLASS]  ArArchiveInputStream  [METHOD]  <init>  [RETURN_TYPE]  InputStream)  InputStream  pInput  [VARIABLES]  boolean  closed  InputStream  input  pInput  long  offset  	projects/Compress2/src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java	0.7071067811865475	49	49	1	replace	closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  this.arArchiveInputStream  =(ArArchiveInputStream)pInput;  input  =  new  ArArchiveInputStream(input);  }	closed  =  false;  	non-compiled	[CE]  illegal  start  of  type	9	None	replace
7	[BUG]  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  ((  ArArchiveInputStream)pInput).close();  input  =  new  ArArchiveInputStream();  }  [CE]  illegal  start  of  type  [FE]              AssertionFailedError  [CONTEXT]  public  ArArchiveInputStream(  final  InputStream  pInput  )  {  input  =  pInput;  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  ((  ArArchiveInputStream)pInput).close();  input  =  new  ArArchiveInputStream();  }  [BUGGY]  }  [CLASS]  ArArchiveInputStream  [METHOD]  <init>  [RETURN_TYPE]  InputStream)  InputStream  pInput  [VARIABLES]  boolean  closed  InputStream  input  pInput  long  offset  	projects/Compress2/src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java	0.7071067811865475	49	49	1	replace	closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  ((  ArArchiveInputStream)pInput).close();  input  =  new  ArArchiveInputStream();  }	closed  =  false;  	non-compiled	[CE]  illegal  start  of  type	9	None	replace
8	[BUG]  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  input  =(ArArchiveInputStream)pInput;  }  [CE]  illegal  start  of  type  [FE]                AssertionFailedError  [CONTEXT]  public  ArArchiveInputStream(  final  InputStream  pInput  )  {  input  =  pInput;  [BUGGY]  closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  input  =(ArArchiveInputStream)pInput;  }  [BUGGY]  }  [CLASS]  ArArchiveInputStream  [METHOD]  <init>  [RETURN_TYPE]  InputStream)  InputStream  pInput  [VARIABLES]  boolean  closed  InputStream  input  pInput  long  offset  	projects/Compress2/src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java	0.7071067811865475	49	49	1	replace	closed  =  true;  }  else  if(pInput  instanceof  ArArchiveInputStream)  {  input  =(ArArchiveInputStream)pInput;  }	closed  =  false;  	non-compiled	[CE]  illegal  start  of  type	9	None	replace
9	[BUG]  [BUGGY]  [FE]  AssertionFailedError  [FE]                  AssertionFailedError  [CONTEXT]  public  ArArchiveInputStream(  final  InputStream  pInput  )  {  input  =  pInput;  [BUGGY]    [BUGGY]  }  [CLASS]  ArArchiveInputStream  [METHOD]  <init>  [RETURN_TYPE]  InputStream)  InputStream  pInput  [VARIABLES]  boolean  closed  InputStream  input  pInput  long  offset  	projects/Compress2/src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java	0.7071067811865475	49	49	1	add	  	closed  =  false;  	compilable	  [FE]  AssertionFailedError  	9	1	replace
10	[BUG]  [BUGGY]    [FE]  AssertionFailedError  [FE]                  AssertionFailedError  [CONTEXT]  public  ArArchiveInputStream(  final  InputStream  pInput  )  {  input  =  pInput;  [BUGGY]    [BUGGY]  }  [CLASS]  ArArchiveInputStream  [METHOD]  <init>  [RETURN_TYPE]  InputStream)  InputStream  pInput  [VARIABLES]  boolean  closed  InputStream  input  pInput  long  offset  	projects/Compress2/src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java	0.7071067811865475	49	49	1	replace	  	closed  =  false;  	compilable	  [FE]  AssertionFailedError  	9	1	replace
