bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  return  c  ==  null  ||  isVowel(c.charValue());  [CE]  illegal  start  of  type  [FE]              NoClassDefFoundError      [CONTEXT]      private  static  boolean  isLineBreak(final  Character  c)  {      [BUGGY]  return  c  ==  null  ||  isVowel(c.charValue());  [BUGGY]      }  [CLASS]  CSVFormat  Predefined  [METHOD]  isLineBreak  [RETURN_TYPE]  boolean  Character  c  [VARIABLES]  boolean  allowMissingColumnNames  ignoreEmptyLines  ignoreHeaderCase  ignoreSurroundingSpaces  skipHeaderRecord  Character  c  commentMarker  commentStart  escape  escapeCharacter  quoteChar  quoteCharacter  QuoteMode  quoteMode  char  c  delimiter  CSVFormat  DEFAULT  EXCEL  MYSQL  RFC4180  TDF  format  String  nullString  recordSeparator  String[]  header  headerComments  Predefined  Default  Excel  MySQL  RFC4180  TDF  long  serialVersionUID  	projects/Csv13/src/main/java/org/apache/commons/csv/CSVFormat.java	0.4343722427630694	342	342	10	replace	return  c  ==  null  ||  isVowel(c.charValue());	  return    c!=    null    ||    isVowel(c.charValue());    	non-compiled	[CE]  illegal  start  of  type	9	None	replace
2	[BUG]  [BUGGY]  return  getFormat().isLineBreak(c,  0);  [CE]  illegal  start  of  type  [FE]                  NoClassDefFoundError      [CONTEXT]      private  static  boolean  isLineBreak(final  Character  c)  {      [BUGGY]  return  getFormat().isLineBreak(c,  0);  [BUGGY]      }  [CLASS]  CSVFormat  Predefined  [METHOD]  isLineBreak  [RETURN_TYPE]  boolean  Character  c  [VARIABLES]  boolean  allowMissingColumnNames  ignoreEmptyLines  ignoreHeaderCase  ignoreSurroundingSpaces  skipHeaderRecord  Character  c  commentMarker  commentStart  escape  escapeCharacter  quoteChar  quoteCharacter  QuoteMode  quoteMode  char  c  delimiter  CSVFormat  DEFAULT  EXCEL  MYSQL  RFC4180  TDF  format  String  nullString  recordSeparator  String[]  header  headerComments  Predefined  Default  Excel  MySQL  RFC4180  TDF  long  serialVersionUID  	projects/Csv13/src/main/java/org/apache/commons/csv/CSVFormat.java	0.4343722427630694	342	342	10	replace	return  getFormat().isLineBreak(c,  0);	  return    getFormat().isLineBreak(c);    	non-compiled	[CE]  illegal  start  of  type	12	None	replace
3	[BUG]  [BUGGY]  return  getFormat().isLineBreak(c,  false);  [CE]  illegal  start  of  type  [FE]                    NoClassDefFoundError      [CONTEXT]      private  static  boolean  isLineBreak(final  Character  c)  {      [BUGGY]  return  getFormat().isLineBreak(c,  false);  [BUGGY]      }  [CLASS]  CSVFormat  Predefined  [METHOD]  isLineBreak  [RETURN_TYPE]  boolean  Character  c  [VARIABLES]  boolean  allowMissingColumnNames  ignoreEmptyLines  ignoreHeaderCase  ignoreSurroundingSpaces  skipHeaderRecord  Character  c  commentMarker  commentStart  escape  escapeCharacter  quoteChar  quoteCharacter  QuoteMode  quoteMode  char  c  delimiter  CSVFormat  DEFAULT  EXCEL  MYSQL  RFC4180  TDF  format  String  nullString  recordSeparator  String[]  header  headerComments  Predefined  Default  Excel  MySQL  RFC4180  TDF  long  serialVersionUID  	projects/Csv13/src/main/java/org/apache/commons/csv/CSVFormat.java	0.4343722427630694	342	342	10	replace	return  getFormat().isLineBreak(c,  false);	  return    getFormat().isLineBreak(c);    	non-compiled	[CE]  illegal  start  of  type	12	None	replace
4	[BUG]  [BUGGY]  return  getFormat().isLineBreak(c  +  1);  [CE]  illegal  start  of  type  [FE]                      NoClassDefFoundError      [CONTEXT]      private  static  boolean  isLineBreak(final  Character  c)  {      [BUGGY]  return  getFormat().isLineBreak(c  +  1);  [BUGGY]      }  [CLASS]  CSVFormat  Predefined  [METHOD]  isLineBreak  [RETURN_TYPE]  boolean  Character  c  [VARIABLES]  boolean  allowMissingColumnNames  ignoreEmptyLines  ignoreHeaderCase  ignoreSurroundingSpaces  skipHeaderRecord  Character  c  commentMarker  commentStart  escape  escapeCharacter  quoteChar  quoteCharacter  QuoteMode  quoteMode  char  c  delimiter  CSVFormat  DEFAULT  EXCEL  MYSQL  RFC4180  TDF  format  String  nullString  recordSeparator  String[]  header  headerComments  Predefined  Default  Excel  MySQL  RFC4180  TDF  long  serialVersionUID  	projects/Csv13/src/main/java/org/apache/commons/csv/CSVFormat.java	0.4343722427630694	342	342	10	replace	return  getFormat().isLineBreak(c  +  1);	  return    getFormat().isLineBreak(c);    	non-compiled	[CE]  illegal  start  of  type	12	None	replace
5	[BUG]  [BUGGY]  return  c  ==  null  &&  isCharBreak(c.charValue());  [CE]  illegal  start  of  type  [FE]            NoClassDefFoundError      [CONTEXT]      private  static  boolean  isLineBreak(final  Character  c)  {      [BUGGY]  return  c  ==  null  &&  isCharBreak(c.charValue());  [BUGGY]      }  [CLASS]  CSVFormat  Predefined  [METHOD]  isLineBreak  [RETURN_TYPE]  boolean  Character  c  [VARIABLES]  boolean  allowMissingColumnNames  ignoreEmptyLines  ignoreHeaderCase  ignoreSurroundingSpaces  skipHeaderRecord  Character  c  commentMarker  commentStart  escape  escapeCharacter  quoteChar  quoteCharacter  QuoteMode  quoteMode  char  c  delimiter  CSVFormat  DEFAULT  EXCEL  MYSQL  RFC4180  TDF  format  String  nullString  recordSeparator  String[]  header  headerComments  Predefined  Default  Excel  MySQL  RFC4180  TDF  long  serialVersionUID  	projects/Csv13/src/main/java/org/apache/commons/csv/CSVFormat.java	0.4343722427630694	342	342	10	replace	return  c  ==  null  &&  isCharBreak(c.charValue());	  return    c!=    null    &&    isCharBreak(c.charValue());    	non-compiled	[CE]  illegal  start  of  type	16	None	replace
6	[BUG]  [BUGGY]  if(c.equals( "   ")||  c.equals( "   "))  {  return  false;  }  [CE]  illegal  start  of  type  [FE]                    NoClassDefFoundError      [CONTEXT]      private  static  boolean  isLineBreak(final  Character  c)  {      [BUGGY]  if(c.equals( "   ")||  c.equals( "   "))  {  return  false;  }  [BUGGY]      }  [CLASS]  CSVFormat  Predefined  [METHOD]  isLineBreak  [RETURN_TYPE]  boolean  Character  c  [VARIABLES]  boolean  allowMissingColumnNames  ignoreEmptyLines  ignoreHeaderCase  ignoreSurroundingSpaces  skipHeaderRecord  Character  c  commentMarker  commentStart  escape  escapeCharacter  quoteChar  quoteCharacter  QuoteMode  quoteMode  char  c  delimiter  CSVFormat  DEFAULT  EXCEL  MYSQL  RFC4180  TDF  format  String  nullString  recordSeparator  String[]  header  headerComments  Predefined  Default  Excel  MySQL  RFC4180  TDF  long  serialVersionUID  	projects/Csv13/src/main/java/org/apache/commons/csv/CSVFormat.java	0.4343722427630694	342	342	10	replace	if(c.equals( "   ")||  c.equals( "   "))  {  return  false;  }	  if(c.equals(   "   "))    {    return    false;    }    	non-compiled	[CE]  illegal  start  of  type	20	None	replace
7	[BUG]  [BUGGY]  ||  c.equals( "   "))  {  return  false;  }  [CE]  illegal  start  of  type  [FE]                      NoClassDefFoundError      [CONTEXT]      private  static  boolean  isLineBreak(final  Character  c)  {      [BUGGY]  ||  c.equals( "   "))  {  return  false;  }  [BUGGY]      }  [CLASS]  CSVFormat  Predefined  [METHOD]  isLineBreak  [RETURN_TYPE]  boolean  Character  c  [VARIABLES]  boolean  allowMissingColumnNames  ignoreEmptyLines  ignoreHeaderCase  ignoreSurroundingSpaces  skipHeaderRecord  Character  c  commentMarker  commentStart  escape  escapeCharacter  quoteChar  quoteCharacter  QuoteMode  quoteMode  char  c  delimiter  CSVFormat  DEFAULT  EXCEL  MYSQL  RFC4180  TDF  format  String  nullString  recordSeparator  String[]  header  headerComments  Predefined  Default  Excel  MySQL  RFC4180  TDF  long  serialVersionUID  	projects/Csv13/src/main/java/org/apache/commons/csv/CSVFormat.java	0.4343722427630694	342	342	10	replace	||  c.equals( "   "))  {  return  false;  }	  if(c.equals(   "   "))    {    return    false;    }    	non-compiled	[CE]  illegal  start  of  type	20	None	replace
8	[BUG]  [BUGGY]  if(c.equals( "   ")||  c.equals( "n "))  {  return  false;  }  [CE]  illegal  start  of  type  [FE]                        NoClassDefFoundError      [CONTEXT]      private  static  boolean  isLineBreak(final  Character  c)  {      [BUGGY]  if(c.equals( "   ")||  c.equals( "n "))  {  return  false;  }  [BUGGY]      }  [CLASS]  CSVFormat  Predefined  [METHOD]  isLineBreak  [RETURN_TYPE]  boolean  Character  c  [VARIABLES]  boolean  allowMissingColumnNames  ignoreEmptyLines  ignoreHeaderCase  ignoreSurroundingSpaces  skipHeaderRecord  Character  c  commentMarker  commentStart  escape  escapeCharacter  quoteChar  quoteCharacter  QuoteMode  quoteMode  char  c  delimiter  CSVFormat  DEFAULT  EXCEL  MYSQL  RFC4180  TDF  format  String  nullString  recordSeparator  String[]  header  headerComments  Predefined  Default  Excel  MySQL  RFC4180  TDF  long  serialVersionUID  	projects/Csv13/src/main/java/org/apache/commons/csv/CSVFormat.java	0.4343722427630694	342	342	10	replace	if(c.equals( "   ")||  c.equals( "n "))  {  return  false;  }	  if(c.equals(   "   "))    {    return    false;    }    	non-compiled	[CE]  illegal  start  of  type	20	None	replace
9	[BUG]  [BUGGY]  if(c.equals( "n "))  {  return  false;  }  [CE]  illegal  start  of  type  [FE]                          NoClassDefFoundError      [CONTEXT]      private  static  boolean  isLineBreak(final  Character  c)  {      [BUGGY]  if(c.equals( "n "))  {  return  false;  }  [BUGGY]      }  [CLASS]  CSVFormat  Predefined  [METHOD]  isLineBreak  [RETURN_TYPE]  boolean  Character  c  [VARIABLES]  boolean  allowMissingColumnNames  ignoreEmptyLines  ignoreHeaderCase  ignoreSurroundingSpaces  skipHeaderRecord  Character  c  commentMarker  commentStart  escape  escapeCharacter  quoteChar  quoteCharacter  QuoteMode  quoteMode  char  c  delimiter  CSVFormat  DEFAULT  EXCEL  MYSQL  RFC4180  TDF  format  String  nullString  recordSeparator  String[]  header  headerComments  Predefined  Default  Excel  MySQL  RFC4180  TDF  long  serialVersionUID  	projects/Csv13/src/main/java/org/apache/commons/csv/CSVFormat.java	0.4343722427630694	342	342	10	replace	if(c.equals( "n "))  {  return  false;  }	  if(c.equals(   "   "))    {    return    false;    }    	non-compiled	[CE]  illegal  start  of  type	20	None	replace
10	[BUG]  [BUGGY]  return  isLineBreak(c.charValue()  +  1);  [CE]  illegal  start  of  type  [FE]                    NoClassDefFoundError      [CONTEXT]      private  static  boolean  isLineBreak(final  Character  c)  {      [BUGGY]  return  isLineBreak(c.charValue()  +  1);  [BUGGY]      }  [CLASS]  CSVFormat  Predefined  [METHOD]  isLineBreak  [RETURN_TYPE]  boolean  Character  c  [VARIABLES]  boolean  allowMissingColumnNames  ignoreEmptyLines  ignoreHeaderCase  ignoreSurroundingSpaces  skipHeaderRecord  Character  c  commentMarker  commentStart  escape  escapeCharacter  quoteChar  quoteCharacter  QuoteMode  quoteMode  char  c  delimiter  CSVFormat  DEFAULT  EXCEL  MYSQL  RFC4180  TDF  format  String  nullString  recordSeparator  String[]  header  headerComments  Predefined  Default  Excel  MySQL  RFC4180  TDF  long  serialVersionUID  	projects/Csv13/src/main/java/org/apache/commons/csv/CSVFormat.java	0.4343722427630694	342	342	10	replace	return  isLineBreak(c.charValue()  +  1);	  return    isLineBreak(c.charValue());    	non-compiled	[CE]  illegal  start  of  type	13	None	replace
