bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  Comparable  category  =  getCategoryIndex(this.categoryKeys,  0);  [CE]  variable  category  is  already  defined  in  method  getCategoryIndex(Comparable)  [FE]                NullPointerException      [CONTEXT]        [BUGGY]  Comparable  category  =  getCategoryIndex(this.categoryKeys,  0);  [BUGGY]      int  result  =  -1;  for  (int  i  =  0;  i  <  this.categoryKeys.length;  i++)  {  if  (category.equals(this.categoryKeys[i]))  {  result  =  i;  break;  }  }  return  result;  }  [CLASS]  DefaultIntervalCategoryDataset  [METHOD]  getCategoryIndex  [RETURN_TYPE]  int  Comparable  category  	projects/Chart16/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java	0.2886751345948129	573	573	8	replace	Comparable  category  =  getCategoryIndex(this.categoryKeys,  0);	  Comparable    category    =    getCategoryIndex(this.categoryKeys);    	non-compiled	[CE]  variable  category  is  already  defined  in  method  getCategoryIndex(Comparable)	10	None	replace
2	[BUG]  [BUGGY]  int  result  =(this.categoryIndex  ==  null)?  1  :  this.categoryIndex  +  1;  [CE]  cannot  find  symbol  categoryIndex  [FE]            NullPointerException      [CONTEXT]        [BUGGY]  int  result  =(this.categoryIndex  ==  null)?  1  :  this.categoryIndex  +  1;  [BUGGY]      for  (int  i  =  0;  i  <  this.categoryKeys.length;  i++)  {  if  (category.equals(this.categoryKeys[i]))  {  result  =  i;  break;  }  }  return  result;  }  [CLASS]  DefaultIntervalCategoryDataset  [METHOD]  getCategoryIndex  [RETURN_TYPE]  int  Comparable  category  	projects/Chart16/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java	0.2886751345948129	573	573	8	replace	int  result  =(this.categoryIndex  ==  null)?  1  :  this.categoryIndex  +  1;	  int    result    =(this.categoryIndex    ==    null)?    0    :    this.categoryIndex    +    1;    	non-compiled	[CE]  cannot  find  symbol  categoryIndex	1	None	replace
3	[BUG]  [BUGGY]  [FE]  NullPointerException  [FE]            NullPointerException      [CONTEXT]        [BUGGY]  int  result  =(this.categoryKeys  ==  null)?  0  :  this.categoryKeys.length;  [BUGGY]      for  (int  i  =  0;  i  <  this.categoryKeys.length;  i++)  {  if  (category.equals(this.categoryKeys[i]))  {  result  =  i;  break;  }  }  return  result;  }  [CLASS]  DefaultIntervalCategoryDataset  [METHOD]  getCategoryIndex  [RETURN_TYPE]  int  Comparable  category  	projects/Chart16/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java	0.2886751345948129	573	573	8	add	int  result  =(this.categoryKeys  ==  null)?  0  :  this.categoryKeys.length;	  int    result    =(this.categoryIndex    ==    null)?    0    :    this.categoryKeys.length;    	compilable	  [FE]  NullPointerException  	16	9	replace
4	[BUG]  [BUGGY]  int  result  =(this.categoryKeys  ==  null)?  0  :  this.categoryKeys.length;  [FE]  NullPointerException  [FE]            NullPointerException      [CONTEXT]        [BUGGY]  int  result  =(this.categoryKeys  ==  null)?  0  :  this.categoryKeys.length;  [BUGGY]      for  (int  i  =  0;  i  <  this.categoryKeys.length;  i++)  {  if  (category.equals(this.categoryKeys[i]))  {  result  =  i;  break;  }  }  return  result;  }  [CLASS]  DefaultIntervalCategoryDataset  [METHOD]  getCategoryIndex  [RETURN_TYPE]  int  Comparable  category  	projects/Chart16/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java	0.2886751345948129	573	573	8	replace	int  result  =(this.categoryKeys  ==  null)?  0  :  this.categoryKeys.length;	  int    result    =(this.categoryIndex    ==    null)?    0    :    this.categoryKeys.length;    	compilable	  [FE]  NullPointerException  	16	9	replace
5	[BUG]  [BUGGY]  Comparable  category  =(Comparable)this.categoryMap.get(categoryIndex  -  1);  [CE]  variable  category  is  already  defined  in  method  getCategoryIndex(Comparable)  [FE]            NullPointerException      [CONTEXT]        [BUGGY]  Comparable  category  =(Comparable)this.categoryMap.get(categoryIndex  -  1);  [BUGGY]      int  result  =  -1;  for  (int  i  =  0;  i  <  this.categoryKeys.length;  i++)  {  if  (category.equals(this.categoryKeys[i]))  {  result  =  i;  break;  }  }  return  result;  }  [CLASS]  DefaultIntervalCategoryDataset  [METHOD]  getCategoryIndex  [RETURN_TYPE]  int  Comparable  category  	projects/Chart16/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java	0.2886751345948129	573	573	8	replace	Comparable  category  =(Comparable)this.categoryMap.get(categoryIndex  -  1);	  Comparable    category    =(Comparable)this.categoryMap.get(categoryIndex);    	non-compiled	[CE]  variable  category  is  already  defined  in  method  getCategoryIndex(Comparable)	12	None	replace
6	[BUG]  [BUGGY]  [FE]  NullPointerException  [FE]          NullPointerException      [CONTEXT]        [BUGGY]  int  result  =  this.categoryKeys.length;  [BUGGY]      for  (int  i  =  0;  i  <  this.categoryKeys.length;  i++)  {  if  (category.equals(this.categoryKeys[i]))  {  result  =  i;  break;  }  }  return  result;  }  [CLASS]  DefaultIntervalCategoryDataset  [METHOD]  getCategoryIndex  [RETURN_TYPE]  int  Comparable  category  	projects/Chart16/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java	0.2886751345948129	573	573	8	add	int  result  =  this.categoryKeys.length;	  int    result    =    0;    int    result    =    this.categoryKeys.length;    	compilable	  [FE]  NullPointerException  	8	9	replace
7	[BUG]  [BUGGY]  int  result  =  this.categoryKeys.length;  [FE]  NullPointerException  [FE]          NullPointerException      [CONTEXT]        [BUGGY]  int  result  =  this.categoryKeys.length;  [BUGGY]      for  (int  i  =  0;  i  <  this.categoryKeys.length;  i++)  {  if  (category.equals(this.categoryKeys[i]))  {  result  =  i;  break;  }  }  return  result;  }  [CLASS]  DefaultIntervalCategoryDataset  [METHOD]  getCategoryIndex  [RETURN_TYPE]  int  Comparable  category  	projects/Chart16/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java	0.2886751345948129	573	573	8	replace	int  result  =  this.categoryKeys.length;	  int    result    =    0;    int    result    =    this.categoryKeys.length;    	compilable	  [FE]  NullPointerException  	8	9	replace
8	[BUG]  [BUGGY]  if(this.categoryKeys!=  null)  {  int  result  =  0;  result  =  this.categoryKeys.length;  }  [CE]  cannot  find  symbol  result  [FE]            NullPointerException      [CONTEXT]        [BUGGY]  if(this.categoryKeys!=  null)  {  int  result  =  0;  result  =  this.categoryKeys.length;  }  [BUGGY]      for  (int  i  =  0;  i  <  this.categoryKeys.length;  i++)  {  if  (category.equals(this.categoryKeys[i]))  {  result  =  i;  break;  }  }  return  result;  }  [CLASS]  DefaultIntervalCategoryDataset  [METHOD]  getCategoryIndex  [RETURN_TYPE]  int  Comparable  category  	projects/Chart16/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java	0.2886751345948129	573	573	8	replace	if(this.categoryKeys!=  null)  {  int  result  =  0;  result  =  this.categoryKeys.length;  }	  int    result    =    0;    int    result    =    this.categoryKeys.length;    	non-compiled	[CE]  cannot  find  symbol  result	8	None	replace
9	[BUG]  [BUGGY]  Comparable  category  =(Comparable)this.categories.get(index  -  1);  [CE]  variable  category  is  already  defined  in  method  getCategoryIndex(Comparable)  [FE]              NullPointerException      [CONTEXT]        [BUGGY]  Comparable  category  =(Comparable)this.categories.get(index  -  1);  [BUGGY]      int  result  =  -1;  for  (int  i  =  0;  i  <  this.categoryKeys.length;  i++)  {  if  (category.equals(this.categoryKeys[i]))  {  result  =  i;  break;  }  }  return  result;  }  [CLASS]  DefaultIntervalCategoryDataset  [METHOD]  getCategoryIndex  [RETURN_TYPE]  int  Comparable  category  	projects/Chart16/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java	0.2886751345948129	573	573	8	replace	Comparable  category  =(Comparable)this.categories.get(index  -  1);	  Comparable    category    =(Comparable)this.categories.get(index);    	non-compiled	[CE]  variable  category  is  already  defined  in  method  getCategoryIndex(Comparable)	20	None	replace
10	[BUG]  [BUGGY]  Comparable  category  =(Comparable)this.categoryKeys.get(categoryIndex  +  1);  [CE]  variable  category  is  already  defined  in  method  getCategoryIndex(Comparable)  [FE]            NullPointerException      [CONTEXT]        [BUGGY]  Comparable  category  =(Comparable)this.categoryKeys.get(categoryIndex  +  1);  [BUGGY]      int  result  =  -1;  for  (int  i  =  0;  i  <  this.categoryKeys.length;  i++)  {  if  (category.equals(this.categoryKeys[i]))  {  result  =  i;  break;  }  }  return  result;  }  [CLASS]  DefaultIntervalCategoryDataset  [METHOD]  getCategoryIndex  [RETURN_TYPE]  int  Comparable  category  	projects/Chart16/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java	0.2886751345948129	573	573	8	replace	Comparable  category  =(Comparable)this.categoryKeys.get(categoryIndex  +  1);	  Comparable    category    =(Comparable)this.categoryKeys.get(categoryIndex);    	non-compiled	[CE]  variable  category  is  already  defined  in  method  getCategoryIndex(Comparable)	5	None	replace
