bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  [FE]  StackOverflowError  [FE]    StackOverflowError    [CONTEXT]      public  void  setPlot(CategoryPlot  plot)  {      [BUGGY]          setPlot(plot);    this.plot  =  plot;  setPlot(plot);  this.plot  =  plot;  [BUGGY]      if  (plot  ==  null)  {  throw  new  IllegalArgumentException(     "Null  'plot'  argument.     ");  }  this.plot  =  plot;  }  [CLASS]  AbstractCategoryItemRenderer  [METHOD]  setPlot  [RETURN_TYPE]  void  CategoryPlot  plot  [VARIABLES]  boolean  CategorySeriesLabelGenerator  legendItemLabelGenerator  legendItemToolTipGenerator  legendItemURLGenerator  CategoryToolTipGenerator  baseToolTipGenerator  CategoryURLGenerator  baseURLGenerator  ObjectList  itemLabelGeneratorList  toolTipGeneratorList  urlGeneratorList  CategoryItemLabelGenerator  baseItemLabelGenerator  List  backgroundAnnotations  foregroundAnnotations  long  serialVersionUID  CategoryPlot  plot  int  columnCount  rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	add	                setPlot(plot);        this.plot    =    plot;    setPlot(plot);  this.plot  =  plot;	  	compilable	  [FE]  StackOverflowError  	11	1	add
2	[BUG]  [BUGGY]          setPlot(plot);    this.plot  =  plot;  setPlot(plot);  this.plot  =  plot;  [FE]  StackOverflowError  [FE]    StackOverflowError    [CONTEXT]      public  void  setPlot(CategoryPlot  plot)  {      [BUGGY]          setPlot(plot);    this.plot  =  plot;  setPlot(plot);  this.plot  =  plot;  [BUGGY]      if  (plot  ==  null)  {  throw  new  IllegalArgumentException(     "Null  'plot'  argument.     ");  }  this.plot  =  plot;  }  [CLASS]  AbstractCategoryItemRenderer  [METHOD]  setPlot  [RETURN_TYPE]  void  CategoryPlot  plot  [VARIABLES]  boolean  CategorySeriesLabelGenerator  legendItemLabelGenerator  legendItemToolTipGenerator  legendItemURLGenerator  CategoryToolTipGenerator  baseToolTipGenerator  CategoryURLGenerator  baseURLGenerator  ObjectList  itemLabelGeneratorList  toolTipGeneratorList  urlGeneratorList  CategoryItemLabelGenerator  baseItemLabelGenerator  List  backgroundAnnotations  foregroundAnnotations  long  serialVersionUID  CategoryPlot  plot  int  columnCount  rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	replace	                setPlot(plot);        this.plot    =    plot;    setPlot(plot);  this.plot  =  plot;	  	compilable	  [FE]  StackOverflowError  	11	1	add
3	[BUG]  [BUGGY]          setPlot(plot);    this.plot  =  plot;  SetPlot(plot);  this.plot  =  plot;  [CE]  cannot  find  symbol  [FE]      StackOverflowError    [CONTEXT]      public  void  setPlot(CategoryPlot  plot)  {      [BUGGY]          setPlot(plot);    this.plot  =  plot;  SetPlot(plot);  this.plot  =  plot;  [BUGGY]      if  (plot  ==  null)  {  throw  new  IllegalArgumentException(     "Null  'plot'  argument.     ");  }  this.plot  =  plot;  }  [CLASS]  AbstractCategoryItemRenderer  [METHOD]  setPlot  [RETURN_TYPE]  void  CategoryPlot  plot  [VARIABLES]  boolean  CategorySeriesLabelGenerator  legendItemLabelGenerator  legendItemToolTipGenerator  legendItemURLGenerator  CategoryToolTipGenerator  baseToolTipGenerator  CategoryURLGenerator  baseURLGenerator  ObjectList  itemLabelGeneratorList  toolTipGeneratorList  urlGeneratorList  CategoryItemLabelGenerator  baseItemLabelGenerator  List  backgroundAnnotations  foregroundAnnotations  long  serialVersionUID  CategoryPlot  plot  int  columnCount  rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	replace	                setPlot(plot);        this.plot    =    plot;    SetPlot(plot);  this.plot  =  plot;	  	non-compiled	[CE]  cannot  find  symbol	11	None	add
4	[BUG]  [BUGGY]  [FE]  StackOverflowError  [FE]        StackOverflowError    [CONTEXT]      public  void  setPlot(CategoryPlot  plot)  {      [BUGGY]          setPlot(plot);    this.plot  =  plot;  this.plot  =  plot;  [BUGGY]      if  (plot  ==  null)  {  throw  new  IllegalArgumentException(     "Null  'plot'  argument.     ");  }  this.plot  =  plot;  }  [CLASS]  AbstractCategoryItemRenderer  [METHOD]  setPlot  [RETURN_TYPE]  void  CategoryPlot  plot  [VARIABLES]  boolean  CategorySeriesLabelGenerator  legendItemLabelGenerator  legendItemToolTipGenerator  legendItemURLGenerator  CategoryToolTipGenerator  baseToolTipGenerator  CategoryURLGenerator  baseURLGenerator  ObjectList  itemLabelGeneratorList  toolTipGeneratorList  urlGeneratorList  CategoryItemLabelGenerator  baseItemLabelGenerator  List  backgroundAnnotations  foregroundAnnotations  long  serialVersionUID  CategoryPlot  plot  int  columnCount  rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	add	                setPlot(plot);        this.plot    =    plot;    this.plot  =  plot;	  	compilable	  [FE]  StackOverflowError  	11	1	add
5	[BUG]  [BUGGY]          setPlot(plot);    this.plot  =  plot;  this.plot  =  plot;  [FE]  StackOverflowError  [FE]        StackOverflowError    [CONTEXT]      public  void  setPlot(CategoryPlot  plot)  {      [BUGGY]          setPlot(plot);    this.plot  =  plot;  this.plot  =  plot;  [BUGGY]      if  (plot  ==  null)  {  throw  new  IllegalArgumentException(     "Null  'plot'  argument.     ");  }  this.plot  =  plot;  }  [CLASS]  AbstractCategoryItemRenderer  [METHOD]  setPlot  [RETURN_TYPE]  void  CategoryPlot  plot  [VARIABLES]  boolean  CategorySeriesLabelGenerator  legendItemLabelGenerator  legendItemToolTipGenerator  legendItemURLGenerator  CategoryToolTipGenerator  baseToolTipGenerator  CategoryURLGenerator  baseURLGenerator  ObjectList  itemLabelGeneratorList  toolTipGeneratorList  urlGeneratorList  CategoryItemLabelGenerator  baseItemLabelGenerator  List  backgroundAnnotations  foregroundAnnotations  long  serialVersionUID  CategoryPlot  plot  int  columnCount  rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	replace	                setPlot(plot);        this.plot    =    plot;    this.plot  =  plot;	  	compilable	  [FE]  StackOverflowError  	11	1	add
6	[BUG]  [BUGGY]  this.plotList.remove(plot.getItemLabelGenerator());  [CE]  illegal  start  of  type  [FE]              AssertionFailedError      [CONTEXT]      public  void  setPlot(CategoryPlot  plot)  {      [BUGGY]  this.plotList.remove(plot.getItemLabelGenerator());  [BUGGY]      if  (plot  ==  null)  {  throw  new  IllegalArgumentException(     "Null  'plot'  argument.     ");  }  this.plot  =  plot;  }  [CLASS]  AbstractCategoryItemRenderer  [METHOD]  setPlot  [RETURN_TYPE]  void  CategoryPlot  plot  [VARIABLES]  boolean  CategorySeriesLabelGenerator  legendItemLabelGenerator  legendItemToolTipGenerator  legendItemURLGenerator  CategoryToolTipGenerator  baseToolTipGenerator  CategoryURLGenerator  baseURLGenerator  ObjectList  itemLabelGeneratorList  toolTipGeneratorList  urlGeneratorList  CategoryItemLabelGenerator  baseItemLabelGenerator  List  backgroundAnnotations  foregroundAnnotations  long  serialVersionUID  CategoryPlot  plot  int  columnCount  rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	replace	this.plotList.remove(plot.getItemLabelGenerator());	  this.plotList.remove(plot);    	non-compiled	[CE]  illegal  start  of  type	23	None	replace
7	[BUG]  [BUGGY]  this.plotList.remove(plot.getName());  [CE]  illegal  start  of  type  [FE]                AssertionFailedError      [CONTEXT]      public  void  setPlot(CategoryPlot  plot)  {      [BUGGY]  this.plotList.remove(plot.getName());  [BUGGY]      if  (plot  ==  null)  {  throw  new  IllegalArgumentException(     "Null  'plot'  argument.     ");  }  this.plot  =  plot;  }  [CLASS]  AbstractCategoryItemRenderer  [METHOD]  setPlot  [RETURN_TYPE]  void  CategoryPlot  plot  [VARIABLES]  boolean  CategorySeriesLabelGenerator  legendItemLabelGenerator  legendItemToolTipGenerator  legendItemURLGenerator  CategoryToolTipGenerator  baseToolTipGenerator  CategoryURLGenerator  baseURLGenerator  ObjectList  itemLabelGeneratorList  toolTipGeneratorList  urlGeneratorList  CategoryItemLabelGenerator  baseItemLabelGenerator  List  backgroundAnnotations  foregroundAnnotations  long  serialVersionUID  CategoryPlot  plot  int  columnCount  rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	replace	this.plotList.remove(plot.getName());	  this.plotList.remove(plot);    	non-compiled	[CE]  illegal  start  of  type	23	None	replace
8	[BUG]  [BUGGY]  SettablePlot  plot  =  getPlot(this.plot,  plot);  [CE]  illegal  start  of  type  [FE]              AssertionFailedError      [CONTEXT]      public  void  setPlot(CategoryPlot  plot)  {      [BUGGY]  SettablePlot  plot  =  getPlot(this.plot,  plot);  [BUGGY]      if  (plot  ==  null)  {  throw  new  IllegalArgumentException(     "Null  'plot'  argument.     ");  }  this.plot  =  plot;  }  [CLASS]  AbstractCategoryItemRenderer  [METHOD]  setPlot  [RETURN_TYPE]  void  CategoryPlot  plot  [VARIABLES]  boolean  CategorySeriesLabelGenerator  legendItemLabelGenerator  legendItemToolTipGenerator  legendItemURLGenerator  CategoryToolTipGenerator  baseToolTipGenerator  CategoryURLGenerator  baseURLGenerator  ObjectList  itemLabelGeneratorList  toolTipGeneratorList  urlGeneratorList  CategoryItemLabelGenerator  baseItemLabelGenerator  List  backgroundAnnotations  foregroundAnnotations  long  serialVersionUID  CategoryPlot  plot  int  columnCount  rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	replace	SettablePlot  plot  =  getPlot(this.plot,  plot);	  SettablePlot    plot    =    getPlot(this.plot);    	non-compiled	[CE]  illegal  start  of  type	1	None	replace
9	[BUG]  [BUGGY]  this.plot  =  plot.getSeriesLabelGenerator();  [CE]  illegal  start  of  type  [FE]        AssertionFailedError      [CONTEXT]      public  void  setPlot(CategoryPlot  plot)  {      [BUGGY]  this.plot  =  plot.getSeriesLabelGenerator();  [BUGGY]      if  (plot  ==  null)  {  throw  new  IllegalArgumentException(     "Null  'plot'  argument.     ");  }  this.plot  =  plot;  }  [CLASS]  AbstractCategoryItemRenderer  [METHOD]  setPlot  [RETURN_TYPE]  void  CategoryPlot  plot  [VARIABLES]  boolean  CategorySeriesLabelGenerator  legendItemLabelGenerator  legendItemToolTipGenerator  legendItemURLGenerator  CategoryToolTipGenerator  baseToolTipGenerator  CategoryURLGenerator  baseURLGenerator  ObjectList  itemLabelGeneratorList  toolTipGeneratorList  urlGeneratorList  CategoryItemLabelGenerator  baseItemLabelGenerator  List  backgroundAnnotations  foregroundAnnotations  long  serialVersionUID  CategoryPlot  plot  int  columnCount  rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	replace	this.plot  =  plot.getSeriesLabelGenerator();	  this.plot    =    plot.getItemLabelGenerator();    	non-compiled	[CE]  illegal  start  of  type	15	None	replace
10	[BUG]  [BUGGY]  this.plotList.clear();  [CE]  illegal  start  of  type  [FE]              AssertionFailedError      [CONTEXT]      public  void  setPlot(CategoryPlot  plot)  {      [BUGGY]  this.plotList.clear();  [BUGGY]      if  (plot  ==  null)  {  throw  new  IllegalArgumentException(     "Null  'plot'  argument.     ");  }  this.plot  =  plot;  }  [CLASS]  AbstractCategoryItemRenderer  [METHOD]  setPlot  [RETURN_TYPE]  void  CategoryPlot  plot  [VARIABLES]  boolean  CategorySeriesLabelGenerator  legendItemLabelGenerator  legendItemToolTipGenerator  legendItemURLGenerator  CategoryToolTipGenerator  baseToolTipGenerator  CategoryURLGenerator  baseURLGenerator  ObjectList  itemLabelGeneratorList  toolTipGeneratorList  urlGeneratorList  CategoryItemLabelGenerator  baseItemLabelGenerator  List  backgroundAnnotations  foregroundAnnotations  long  serialVersionUID  CategoryPlot  plot  int  columnCount  rowCount  	projects/Chart1/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java	1.0	293	293	1	replace	this.plotList.clear();	  this.plotList.set(this.plot);    	non-compiled	[CE]  illegal  start  of  type	16	None	replace
