bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  return  this.valuesep  >  0;  [CE]  illegal  start  of  expression  [FE]    AssertionFailedError  [CONTEXT]  public  boolean  hasValueSeparator()  {  [BUGGY]  return  this.valuesep  >  0;  [BUGGY]  }  [CLASS]  Option  [METHOD]  hasValueSeparator  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  sep  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  num  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5	380	380	2	replace	return  this.valuesep  >  0;	return  valuesep  >  0;  	non-compiled	[CE]  illegal  start  of  expression	35	None	replace
2	[BUG]  [BUGGY]  return(valuesep  <  0)||(valuesep  >  0);  [CE]  illegal  start  of  expression  [FE]      AssertionFailedError  [CONTEXT]  public  boolean  hasValueSeparator()  {  [BUGGY]  return(valuesep  <  0)||(valuesep  >  0);  [BUGGY]  }  [CLASS]  Option  [METHOD]  hasValueSeparator  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  sep  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  num  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5	380	380	2	replace	return(valuesep  <  0)||(valuesep  >  0);	return  valuesep  >  0;  	non-compiled	[CE]  illegal  start  of  expression	35	None	replace
3	[BUG]  [BUGGY]  return  valuesep  ==  0;  [CE]  illegal  start  of  expression  [FE]        AssertionFailedError  [CONTEXT]  public  boolean  hasValueSeparator()  {  [BUGGY]  return  valuesep  ==  0;  [BUGGY]  }  [CLASS]  Option  [METHOD]  hasValueSeparator  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  sep  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  num  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5	380	380	2	replace	return  valuesep  ==  0;	return  valuesep  >  0;  	non-compiled	[CE]  illegal  start  of  expression	35	None	replace
4	[BUG]  [BUGGY]  return(valuesep  >  0)||(values.size()  >  0);  [CE]  illegal  start  of  expression  [FE]          AssertionFailedError  [CONTEXT]  public  boolean  hasValueSeparator()  {  [BUGGY]  return(valuesep  >  0)||(values.size()  >  0);  [BUGGY]  }  [CLASS]  Option  [METHOD]  hasValueSeparator  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  sep  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  num  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5	380	380	2	replace	return(valuesep  >  0)||(values.size()  >  0);	return  valuesep  >  0;  	non-compiled	[CE]  illegal  start  of  expression	35	None	replace
5	[BUG]  [BUGGY]    [CE]  illegal  start  of  expression  [FE]            AssertionFailedError  [CONTEXT]  public  boolean  hasValueSeparator()  {  [BUGGY]    [BUGGY]  }  [CLASS]  Option  [METHOD]  hasValueSeparator  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  sep  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  num  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5	380	380	2	replace	  	return  valuesep  >  0;  	non-compiled	[CE]  illegal  start  of  expression	35	None	replace
6	[BUG]  [BUGGY]    char  sep  =  getValueSeparator();  [CE]  illegal  start  of  expression  [FE]    AssertionFailedError  [CONTEXT]  public  boolean  hasValueSeparator()  {  [BUGGY]    char  sep  =  getValueSeparator();  [BUGGY]  return  valuesep  >  0;  }  [CLASS]  Option  [METHOD]  hasValueSeparator  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  sep  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  num  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5	380	380	2	replace	    char  sep  =  getValueSeparator();		non-compiled	[CE]  illegal  start  of  expression	36	None	add
7	[BUG]  [BUGGY]    char  sep  =  getSeparator();  [CE]  illegal  start  of  expression  [FE]      AssertionFailedError  [CONTEXT]  public  boolean  hasValueSeparator()  {  [BUGGY]    char  sep  =  getSeparator();  [BUGGY]  return  valuesep  >  0;  }  [CLASS]  Option  [METHOD]  hasValueSeparator  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  sep  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  num  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5	380	380	2	replace	    char  sep  =  getSeparator();		non-compiled	[CE]  illegal  start  of  expression	36	None	add
8	[BUG]  [BUGGY]    int  sep  =  getSeparatorIndex();  [CE]  illegal  start  of  expression  [FE]        AssertionFailedError  [CONTEXT]  public  boolean  hasValueSeparator()  {  [BUGGY]    int  sep  =  getSeparatorIndex();  [BUGGY]  return  valuesep  >  0;  }  [CLASS]  Option  [METHOD]  hasValueSeparator  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  sep  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  num  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5	380	380	2	replace	    int  sep  =  getSeparatorIndex();		non-compiled	[CE]  illegal  start  of  expression	36	None	add
9	[BUG]  [BUGGY]    int  sep  =  getSeparator();  [CE]  illegal  start  of  expression  [FE]          AssertionFailedError  [CONTEXT]  public  boolean  hasValueSeparator()  {  [BUGGY]    int  sep  =  getSeparator();  [BUGGY]  return  valuesep  >  0;  }  [CLASS]  Option  [METHOD]  hasValueSeparator  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  sep  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  num  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5	380	380	2	replace	    int  sep  =  getSeparator();		non-compiled	[CE]  illegal  start  of  expression	36	None	add
10	[BUG]  [BUGGY]    char  sep  =  getSeparator().hashCode();  [CE]  illegal  start  of  expression  [FE]            AssertionFailedError  [CONTEXT]  public  boolean  hasValueSeparator()  {  [BUGGY]    char  sep  =  getSeparator().hashCode();  [BUGGY]  return  valuesep  >  0;  }  [CLASS]  Option  [METHOD]  hasValueSeparator  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  sep  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  num  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5	380	380	2	replace	    char  sep  =  getSeparator().hashCode();		non-compiled	[CE]  illegal  start  of  expression	36	None	add
