bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  mMaxLengthEstimate  =  0.0;  [CE]  possible  loss  of  precision  [FE]        ComparisonFailure      [CONTEXT]      private  void  init()  {  List<Rule>  rulesList  =  parsePattern();  mRules  =  rulesList.toArray(new  Rule[rulesList.size()]);  int  len  =  0;  for  (int  i=mRules.length;  --i  >=  0;  )  {  len  +=  mRules[i].estimateLength();  }      [BUGGY]  mMaxLengthEstimate  =  0.0;  [BUGGY]      }  [CLASS]  FastDatePrinter  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  ConcurrentMap  cTimeZoneDisplayCache  TwoDigitYearField  INSTANCE  String  mDaylight  mPattern  mStandard  mValue  pattern  value  String[]  mValues  values  long  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  field  i  len  mField  mMaxLengthEstimate  mSize  mStyle  size  style  Rule[]  mRules  TimeZone  mTimeZone  timeZone  zone  boolean  colon  daylight  mColon  NumberRule  mRule  rule  char  mValue  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  List  rulesList  	projects/Lang8/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	0.2672612419124244	156	156	2	replace	mMaxLengthEstimate  =  0.0;	  mMaxLengthEstimate    =    0;    mMaxLengthEstimate    =    0.0;    	non-compiled	[CE]  possible  loss  of  precision	98	None	replace
2	[BUG]  [BUGGY]  mMaxLengthEstimate  =  0;  mMaxLengthEstimate  =  1.0;  [CE]  possible  loss  of  precision  [FE]          ComparisonFailure      [CONTEXT]      private  void  init()  {  List<Rule>  rulesList  =  parsePattern();  mRules  =  rulesList.toArray(new  Rule[rulesList.size()]);  int  len  =  0;  for  (int  i=mRules.length;  --i  >=  0;  )  {  len  +=  mRules[i].estimateLength();  }      [BUGGY]  mMaxLengthEstimate  =  0;  mMaxLengthEstimate  =  1.0;  [BUGGY]      }  [CLASS]  FastDatePrinter  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  ConcurrentMap  cTimeZoneDisplayCache  TwoDigitYearField  INSTANCE  String  mDaylight  mPattern  mStandard  mValue  pattern  value  String[]  mValues  values  long  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  field  i  len  mField  mMaxLengthEstimate  mSize  mStyle  size  style  Rule[]  mRules  TimeZone  mTimeZone  timeZone  zone  boolean  colon  daylight  mColon  NumberRule  mRule  rule  char  mValue  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  List  rulesList  	projects/Lang8/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	0.2672612419124244	156	156	2	replace	mMaxLengthEstimate  =  0;  mMaxLengthEstimate  =  1.0;	  mMaxLengthEstimate    =    0;    mMaxLengthEstimate    =    0.0;    	non-compiled	[CE]  possible  loss  of  precision	98	None	replace
3	[BUG]  [BUGGY]  [FE]  ComparisonFailure  [FE]    ComparisonFailure    [CONTEXT]      private  void  init()  {  List<Rule>  rulesList  =  parsePattern();  mRules  =  rulesList.toArray(new  Rule[rulesList.size()]);  int  len  =  0;  for  (int  i=mRules.length;  --i  >=  0;  )  {  len  +=  mRules[i].estimateLength();  }      [BUGGY]  Rule[]  mRules  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  =  0;  [BUGGY]      mMaxLengthEstimate  =  len;  }  [CLASS]  FastDatePrinter  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  ConcurrentMap  cTimeZoneDisplayCache  TwoDigitYearField  INSTANCE  String  mDaylight  mPattern  mStandard  mValue  pattern  value  String[]  mValues  values  long  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  field  i  len  mField  mMaxLengthEstimate  mSize  mStyle  size  style  Rule[]  mRules  TimeZone  mTimeZone  timeZone  zone  boolean  colon  daylight  mColon  NumberRule  mRule  rule  char  mValue  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  List  rulesList  	projects/Lang8/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	0.2672612419124244	156	156	2	add	Rule[]  mRules  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  =  0;	          mRules    =    rulesList.toArray(new    Rule[rulesList.size()    ]);    len    =    0;    Rule[]    mRules    =    rulesList.toArray(new    Rule[rulesList.size()    ]);    len    =    0;    	compilable	  [FE]  ComparisonFailure  	74	2	replace
4	[BUG]  [BUGGY]  Rule[]  mRules  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  =  0;  [FE]  ComparisonFailure  [FE]    ComparisonFailure    [CONTEXT]      private  void  init()  {  List<Rule>  rulesList  =  parsePattern();  mRules  =  rulesList.toArray(new  Rule[rulesList.size()]);  int  len  =  0;  for  (int  i=mRules.length;  --i  >=  0;  )  {  len  +=  mRules[i].estimateLength();  }      [BUGGY]  Rule[]  mRules  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  =  0;  [BUGGY]      mMaxLengthEstimate  =  len;  }  [CLASS]  FastDatePrinter  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  ConcurrentMap  cTimeZoneDisplayCache  TwoDigitYearField  INSTANCE  String  mDaylight  mPattern  mStandard  mValue  pattern  value  String[]  mValues  values  long  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  field  i  len  mField  mMaxLengthEstimate  mSize  mStyle  size  style  Rule[]  mRules  TimeZone  mTimeZone  timeZone  zone  boolean  colon  daylight  mColon  NumberRule  mRule  rule  char  mValue  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  List  rulesList  	projects/Lang8/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	0.2672612419124244	156	156	2	replace	Rule[]  mRules  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  =  0;	          mRules    =    rulesList.toArray(new    Rule[rulesList.size()    ]);    len    =    0;    Rule[]    mRules    =    rulesList.toArray(new    Rule[rulesList.size()    ]);    len    =    0;    	compilable	  [FE]  ComparisonFailure  	74	2	replace
5	[BUG]  [BUGGY]  ruleList  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  =  0;  [CE]  cannot  find  symbol  ruleList  [FE]      ComparisonFailure    [CONTEXT]      private  void  init()  {  List<Rule>  rulesList  =  parsePattern();  mRules  =  rulesList.toArray(new  Rule[rulesList.size()]);  int  len  =  0;  for  (int  i=mRules.length;  --i  >=  0;  )  {  len  +=  mRules[i].estimateLength();  }      [BUGGY]  ruleList  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  =  0;  [BUGGY]      mMaxLengthEstimate  =  len;  }  [CLASS]  FastDatePrinter  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  ConcurrentMap  cTimeZoneDisplayCache  TwoDigitYearField  INSTANCE  String  mDaylight  mPattern  mStandard  mValue  pattern  value  String[]  mValues  values  long  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  field  i  len  mField  mMaxLengthEstimate  mSize  mStyle  size  style  Rule[]  mRules  TimeZone  mTimeZone  timeZone  zone  boolean  colon  daylight  mColon  NumberRule  mRule  rule  char  mValue  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  List  rulesList  	projects/Lang8/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	0.2672612419124244	156	156	2	replace	ruleList  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  =  0;	          mRules    =    rulesList.toArray(new    Rule[rulesList.size()    ]);    len    =    0;    Rule[]    mRules    =    rulesList.toArray(new    Rule[rulesList.size()    ]);    len    =    0;    	non-compiled	[CE]  cannot  find  symbol  ruleList	74	None	replace
6	[BUG]  [BUGGY]  [FE]  NullPointerException  [FE]    NullPointerException    [CONTEXT]      private  void  init()  {  List<Rule>  rulesList  =  parsePattern();  mRules  =  rulesList.toArray(new  Rule[rulesList.size()]);  int  len  =  0;  for  (int  i=mRules.length;  --i  >=  0;  )  {  len  +=  mRules[i].estimateLength();  }      [BUGGY]  mRules  =  rulesList.toArray(new  Rule[len]);  len  +=  mRules[1].estimateLength();  [BUGGY]      mMaxLengthEstimate  =  len;  }  [CLASS]  FastDatePrinter  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  ConcurrentMap  cTimeZoneDisplayCache  TwoDigitYearField  INSTANCE  String  mDaylight  mPattern  mStandard  mValue  pattern  value  String[]  mValues  values  long  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  field  i  len  mField  mMaxLengthEstimate  mSize  mStyle  size  style  Rule[]  mRules  TimeZone  mTimeZone  timeZone  zone  boolean  colon  daylight  mColon  NumberRule  mRule  rule  char  mValue  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  List  rulesList  	projects/Lang8/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	0.2672612419124244	156	156	2	add	mRules  =  rulesList.toArray(new  Rule[len]);  len  +=  mRules[1].estimateLength();	  mRules    =    rulesList.toArray(new    Rule[len]);    len    +=    mRules[0].estimateLength();    	compilable	  [FE]  NullPointerException  	43	18	replace
7	[BUG]  [BUGGY]  mRules  =  rulesList.toArray(new  Rule[len]);  len  +=  mRules[1].estimateLength();  [FE]  NullPointerException  [FE]    NullPointerException    [CONTEXT]      private  void  init()  {  List<Rule>  rulesList  =  parsePattern();  mRules  =  rulesList.toArray(new  Rule[rulesList.size()]);  int  len  =  0;  for  (int  i=mRules.length;  --i  >=  0;  )  {  len  +=  mRules[i].estimateLength();  }      [BUGGY]  mRules  =  rulesList.toArray(new  Rule[len]);  len  +=  mRules[1].estimateLength();  [BUGGY]      mMaxLengthEstimate  =  len;  }  [CLASS]  FastDatePrinter  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  ConcurrentMap  cTimeZoneDisplayCache  TwoDigitYearField  INSTANCE  String  mDaylight  mPattern  mStandard  mValue  pattern  value  String[]  mValues  values  long  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  field  i  len  mField  mMaxLengthEstimate  mSize  mStyle  size  style  Rule[]  mRules  TimeZone  mTimeZone  timeZone  zone  boolean  colon  daylight  mColon  NumberRule  mRule  rule  char  mValue  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  List  rulesList  	projects/Lang8/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	0.2672612419124244	156	156	2	replace	mRules  =  rulesList.toArray(new  Rule[len]);  len  +=  mRules[1].estimateLength();	  mRules    =    rulesList.toArray(new    Rule[len]);    len    +=    mRules[0].estimateLength();    	compilable	  [FE]  NullPointerException  	43	18	replace
8	[BUG]  [BUGGY]  mRules  =  mRulesList.toArray(new  Rule[len]);  [CE]  cannot  find  symbol  mRulesList  [FE]        NullPointerException      [CONTEXT]      private  void  init()  {  List<Rule>  rulesList  =  parsePattern();  mRules  =  rulesList.toArray(new  Rule[rulesList.size()]);  int  len  =  0;  for  (int  i=mRules.length;  --i  >=  0;  )  {  len  +=  mRules[i].estimateLength();  }      [BUGGY]  mRules  =  mRulesList.toArray(new  Rule[len]);  [BUGGY]      mMaxLengthEstimate  =  len;  }  [CLASS]  FastDatePrinter  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  ConcurrentMap  cTimeZoneDisplayCache  TwoDigitYearField  INSTANCE  String  mDaylight  mPattern  mStandard  mValue  pattern  value  String[]  mValues  values  long  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  field  i  len  mField  mMaxLengthEstimate  mSize  mStyle  size  style  Rule[]  mRules  TimeZone  mTimeZone  timeZone  zone  boolean  colon  daylight  mColon  NumberRule  mRule  rule  char  mValue  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  List  rulesList  	projects/Lang8/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	0.2672612419124244	156	156	2	replace	mRules  =  mRulesList.toArray(new  Rule[len]);	  mRules    =    ruleList.toArray(new    Rule[len]);    	non-compiled	[CE]  cannot  find  symbol  mRulesList	125	None	replace
9	[BUG]  [BUGGY]  mRules  =  rulesList.toArray(new  Rule[mRules.size()  ]);  [CE]  cannot  find  symbol  [FE]        ComparisonFailure      [CONTEXT]      private  void  init()  {  List<Rule>  rulesList  =  parsePattern();  mRules  =  rulesList.toArray(new  Rule[rulesList.size()]);  int  len  =  0;  for  (int  i=mRules.length;  --i  >=  0;  )  {  len  +=  mRules[i].estimateLength();  }      [BUGGY]  mRules  =  rulesList.toArray(new  Rule[mRules.size()  ]);  [BUGGY]      mMaxLengthEstimate  =  len;  }  [CLASS]  FastDatePrinter  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  ConcurrentMap  cTimeZoneDisplayCache  TwoDigitYearField  INSTANCE  String  mDaylight  mPattern  mStandard  mValue  pattern  value  String[]  mValues  values  long  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  field  i  len  mField  mMaxLengthEstimate  mSize  mStyle  size  style  Rule[]  mRules  TimeZone  mTimeZone  timeZone  zone  boolean  colon  daylight  mColon  NumberRule  mRule  rule  char  mValue  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  List  rulesList  	projects/Lang8/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	0.2672612419124244	156	156	2	replace	mRules  =  rulesList.toArray(new  Rule[mRules.size()  ]);	  mRules    =    mRules.toArray(new    Rule[rulesList.size()    ]);    	non-compiled	[CE]  cannot  find  symbol	52	None	replace
10	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  [FE]    ArrayIndexOutOfBoundsException    [CONTEXT]      private  void  init()  {  List<Rule>  rulesList  =  parsePattern();  mRules  =  rulesList.toArray(new  Rule[rulesList.size()]);  int  len  =  0;  for  (int  i=mRules.length;  --i  >=  0;  )  {  len  +=  mRules[i].estimateLength();  }      [BUGGY]  if(mRules!=  null)  {  mRules  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  +=  mRules[len].estimateLength();  }  if(mRules!=  null)  {  mRules  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  +=  mRules[len].estimateLength();  }  [BUGGY]      mMaxLengthEstimate  =  len;  }  [CLASS]  FastDatePrinter  CharacterLiteral  StringLiteral  TextField  UnpaddedNumberField  UnpaddedMonthField  PaddedNumberField  TwoDigitNumberField  TwoDigitYearField  TwoDigitMonthField  TwelveHourField  TwentyFourHourField  TimeZoneNameRule  TimeZoneNumberRule  TimeZoneDisplayKey  [METHOD]  init  [RETURN_TYPE]  void  [VARIABLES]  Locale  locale  mLocale  TimeZoneNumberRule  INSTANCE_COLON  INSTANCE_NO_COLON  ConcurrentMap  cTimeZoneDisplayCache  TwoDigitYearField  INSTANCE  String  mDaylight  mPattern  mStandard  mValue  pattern  value  String[]  mValues  values  long  serialVersionUID  int  FULL  LONG  MEDIUM  SHORT  field  i  len  mField  mMaxLengthEstimate  mSize  mStyle  size  style  Rule[]  mRules  TimeZone  mTimeZone  timeZone  zone  boolean  colon  daylight  mColon  NumberRule  mRule  rule  char  mValue  value  TwoDigitMonthField  INSTANCE  UnpaddedMonthField  INSTANCE  List  rulesList  	projects/Lang8/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java	0.2672612419124244	156	156	2	add	if(mRules!=    null)    {    mRules    =    rulesList.toArray(new    Rule[rulesList.size()    ]);    len    +=    mRules[len].estimateLength();    }    if(mRules!=  null)  {  mRules  =  rulesList.toArray(new  Rule[rulesList.size()  ]);  len  +=  mRules[len].estimateLength();  }	  	compilable	  [FE]  ArrayIndexOutOfBoundsException  	116	28	add
