bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  int  startPtr  =  _inputEnd+1;  [CE]  illegal  start  of  type  [FE]          ComparisonFailure    [CONTEXT]    {      int  ptr  =  _inputPtr;    [BUGGY]  int  startPtr  =  _inputEnd+1;  [BUGGY]    final  int  inputLen  =  _inputEnd;  if  (ch  ==  INT_0)  {  return  _parseNumber2(false,  startPtr);  }      [CLASS]  ReaderBasedJsonParser  [METHOD]  _parsePosNumber  [RETURN_TYPE]  JsonToken  int  ch  [VARIABLES]  boolean  _bufferRecyclable  _tokenIncomplete  bufferRecyclable  inObject  Reader  _reader  r  int[]  _icLatin1  ObjectCodec  _objectCodec  c  codec  CharsToNameCanonicalizer  _symbols  st  int  _hashSeed  bits  ch  count  decodedData  defaultValue  end  features  i  id  inputLen  intLen  len  nameLen  origPtr  outputCount  outputEnd  outputPtr  ptr  start  startPtr  char[]  _inputBuffer  buf  inputBuffer  	projects/JacksonCore9/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	0.35355339059327373	848	849	2	replace	int  startPtr  =  _inputEnd+1;	  int    startPtr    =    _inputEnd-1;    	non-compiled	[CE]  illegal  start  of  type	2	None	replace
2	[BUG]  [BUGGY]  Integer  ptr  =  _inputBuffer.readInt();  [CE]  illegal  start  of  type  [FE]                ComparisonFailure    [CONTEXT]    {      int  ptr  =  _inputPtr;    [BUGGY]  Integer  ptr  =  _inputBuffer.readInt();  [BUGGY]    final  int  inputLen  =  _inputEnd;  if  (ch  ==  INT_0)  {  return  _parseNumber2(false,  startPtr);  }      [CLASS]  ReaderBasedJsonParser  [METHOD]  _parsePosNumber  [RETURN_TYPE]  JsonToken  int  ch  [VARIABLES]  boolean  _bufferRecyclable  _tokenIncomplete  bufferRecyclable  inObject  Reader  _reader  r  int[]  _icLatin1  ObjectCodec  _objectCodec  c  codec  CharsToNameCanonicalizer  _symbols  st  int  _hashSeed  bits  ch  count  decodedData  defaultValue  end  features  i  id  inputLen  intLen  len  nameLen  origPtr  outputCount  outputEnd  outputPtr  ptr  start  startPtr  char[]  _inputBuffer  buf  inputBuffer  	projects/JacksonCore9/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	0.35355339059327373	848	849	2	replace	Integer  ptr  =  _inputBuffer.readInt();	      	non-compiled	[CE]  illegal  start  of  type	5	None	replace
3	[BUG]  [BUGGY]  int  len  =  _inputEnd;  [CE]  illegal  start  of  type  [FE]                  ComparisonFailure    [CONTEXT]    {      int  ptr  =  _inputPtr;    [BUGGY]  int  len  =  _inputEnd;  [BUGGY]    final  int  inputLen  =  _inputEnd;  if  (ch  ==  INT_0)  {  return  _parseNumber2(false,  startPtr);  }      [CLASS]  ReaderBasedJsonParser  [METHOD]  _parsePosNumber  [RETURN_TYPE]  JsonToken  int  ch  [VARIABLES]  boolean  _bufferRecyclable  _tokenIncomplete  bufferRecyclable  inObject  Reader  _reader  r  int[]  _icLatin1  ObjectCodec  _objectCodec  c  codec  CharsToNameCanonicalizer  _symbols  st  int  _hashSeed  bits  ch  count  decodedData  defaultValue  end  features  i  id  inputLen  intLen  len  nameLen  origPtr  outputCount  outputEnd  outputPtr  ptr  start  startPtr  char[]  _inputBuffer  buf  inputBuffer  	projects/JacksonCore9/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	0.35355339059327373	848	849	2	replace	int  len  =  _inputEnd;	      	non-compiled	[CE]  illegal  start  of  type	5	None	replace
4	[BUG]  [BUGGY]  ptr  =  _inputBuffer.length;  [CE]  illegal  start  of  type  [FE]                    ComparisonFailure    [CONTEXT]    {      int  ptr  =  _inputPtr;    [BUGGY]  ptr  =  _inputBuffer.length;  [BUGGY]    final  int  inputLen  =  _inputEnd;  if  (ch  ==  INT_0)  {  return  _parseNumber2(false,  startPtr);  }      [CLASS]  ReaderBasedJsonParser  [METHOD]  _parsePosNumber  [RETURN_TYPE]  JsonToken  int  ch  [VARIABLES]  boolean  _bufferRecyclable  _tokenIncomplete  bufferRecyclable  inObject  Reader  _reader  r  int[]  _icLatin1  ObjectCodec  _objectCodec  c  codec  CharsToNameCanonicalizer  _symbols  st  int  _hashSeed  bits  ch  count  decodedData  defaultValue  end  features  i  id  inputLen  intLen  len  nameLen  origPtr  outputCount  outputEnd  outputPtr  ptr  start  startPtr  char[]  _inputBuffer  buf  inputBuffer  	projects/JacksonCore9/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	0.35355339059327373	848	849	2	replace	ptr  =  _inputBuffer.length;	      	non-compiled	[CE]  illegal  start  of  type	5	None	replace
5	[BUG]  [BUGGY]  ptr  =  _inputBuffer.length();  [CE]  illegal  start  of  type  [FE]                      ComparisonFailure    [CONTEXT]    {      int  ptr  =  _inputPtr;    [BUGGY]  ptr  =  _inputBuffer.length();  [BUGGY]    final  int  inputLen  =  _inputEnd;  if  (ch  ==  INT_0)  {  return  _parseNumber2(false,  startPtr);  }      [CLASS]  ReaderBasedJsonParser  [METHOD]  _parsePosNumber  [RETURN_TYPE]  JsonToken  int  ch  [VARIABLES]  boolean  _bufferRecyclable  _tokenIncomplete  bufferRecyclable  inObject  Reader  _reader  r  int[]  _icLatin1  ObjectCodec  _objectCodec  c  codec  CharsToNameCanonicalizer  _symbols  st  int  _hashSeed  bits  ch  count  decodedData  defaultValue  end  features  i  id  inputLen  intLen  len  nameLen  origPtr  outputCount  outputEnd  outputPtr  ptr  start  startPtr  char[]  _inputBuffer  buf  inputBuffer  	projects/JacksonCore9/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	0.35355339059327373	848	849	2	replace	ptr  =  _inputBuffer.length();	      	non-compiled	[CE]  illegal  start  of  type	5	None	replace
6	[BUG]  [BUGGY]  String  startPtr  =  ptr-1;  [CE]  illegal  start  of  type  [FE]              ComparisonFailure    [CONTEXT]    {      int  ptr  =  _inputPtr;    [BUGGY]  String  startPtr  =  ptr-1;  [BUGGY]    final  int  inputLen  =  _inputEnd;  if  (ch  ==  INT_0)  {  return  _parseNumber2(false,  startPtr);  }      [CLASS]  ReaderBasedJsonParser  [METHOD]  _parsePosNumber  [RETURN_TYPE]  JsonToken  int  ch  [VARIABLES]  boolean  _bufferRecyclable  _tokenIncomplete  bufferRecyclable  inObject  Reader  _reader  r  int[]  _icLatin1  ObjectCodec  _objectCodec  c  codec  CharsToNameCanonicalizer  _symbols  st  int  _hashSeed  bits  ch  count  decodedData  defaultValue  end  features  i  id  inputLen  intLen  len  nameLen  origPtr  outputCount  outputEnd  outputPtr  ptr  start  startPtr  char[]  _inputBuffer  buf  inputBuffer  	projects/JacksonCore9/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	0.35355339059327373	848	849	2	replace	String  startPtr  =  ptr-1;	  char    startPtr    =    ptr-1;    	non-compiled	[CE]  illegal  start  of  type	4	None	replace
7	[BUG]  [BUGGY]  Char  startPtr  =  ptr-1;  [CE]  illegal  start  of  type  [FE]                ComparisonFailure    [CONTEXT]    {      int  ptr  =  _inputPtr;    [BUGGY]  Char  startPtr  =  ptr-1;  [BUGGY]    final  int  inputLen  =  _inputEnd;  if  (ch  ==  INT_0)  {  return  _parseNumber2(false,  startPtr);  }      [CLASS]  ReaderBasedJsonParser  [METHOD]  _parsePosNumber  [RETURN_TYPE]  JsonToken  int  ch  [VARIABLES]  boolean  _bufferRecyclable  _tokenIncomplete  bufferRecyclable  inObject  Reader  _reader  r  int[]  _icLatin1  ObjectCodec  _objectCodec  c  codec  CharsToNameCanonicalizer  _symbols  st  int  _hashSeed  bits  ch  count  decodedData  defaultValue  end  features  i  id  inputLen  intLen  len  nameLen  origPtr  outputCount  outputEnd  outputPtr  ptr  start  startPtr  char[]  _inputBuffer  buf  inputBuffer  	projects/JacksonCore9/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	0.35355339059327373	848	849	2	replace	Char  startPtr  =  ptr-1;	  char    startPtr    =    ptr-1;    	non-compiled	[CE]  illegal  start  of  type	4	None	replace
8	[BUG]  [BUGGY]  Character  startPtr  =  ptr-1;  [CE]  illegal  start  of  type  [FE]                  ComparisonFailure    [CONTEXT]    {      int  ptr  =  _inputPtr;    [BUGGY]  Character  startPtr  =  ptr-1;  [BUGGY]    final  int  inputLen  =  _inputEnd;  if  (ch  ==  INT_0)  {  return  _parseNumber2(false,  startPtr);  }      [CLASS]  ReaderBasedJsonParser  [METHOD]  _parsePosNumber  [RETURN_TYPE]  JsonToken  int  ch  [VARIABLES]  boolean  _bufferRecyclable  _tokenIncomplete  bufferRecyclable  inObject  Reader  _reader  r  int[]  _icLatin1  ObjectCodec  _objectCodec  c  codec  CharsToNameCanonicalizer  _symbols  st  int  _hashSeed  bits  ch  count  decodedData  defaultValue  end  features  i  id  inputLen  intLen  len  nameLen  origPtr  outputCount  outputEnd  outputPtr  ptr  start  startPtr  char[]  _inputBuffer  buf  inputBuffer  	projects/JacksonCore9/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	0.35355339059327373	848	849	2	replace	Character  startPtr  =  ptr-1;	  char    startPtr    =    ptr-1;    	non-compiled	[CE]  illegal  start  of  type	4	None	replace
9	[BUG]  [BUGGY]  int  startPtr  =  _inputEnd.length-1;  [CE]  illegal  start  of  type  [FE]            ComparisonFailure    [CONTEXT]    {      int  ptr  =  _inputPtr;    [BUGGY]  int  startPtr  =  _inputEnd.length-1;  [BUGGY]    final  int  inputLen  =  _inputEnd;  if  (ch  ==  INT_0)  {  return  _parseNumber2(false,  startPtr);  }      [CLASS]  ReaderBasedJsonParser  [METHOD]  _parsePosNumber  [RETURN_TYPE]  JsonToken  int  ch  [VARIABLES]  boolean  _bufferRecyclable  _tokenIncomplete  bufferRecyclable  inObject  Reader  _reader  r  int[]  _icLatin1  ObjectCodec  _objectCodec  c  codec  CharsToNameCanonicalizer  _symbols  st  int  _hashSeed  bits  ch  count  decodedData  defaultValue  end  features  i  id  inputLen  intLen  len  nameLen  origPtr  outputCount  outputEnd  outputPtr  ptr  start  startPtr  char[]  _inputBuffer  buf  inputBuffer  	projects/JacksonCore9/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	0.35355339059327373	848	849	2	replace	int  startPtr  =  _inputEnd.length-1;	  int    startPtr    =    ptr.length-1;    	non-compiled	[CE]  illegal  start  of  type	3	None	replace
10	[BUG]  [BUGGY]  final  int  startPtr  =  ptr.length-1;  [CE]  illegal  start  of  type  [FE]        ComparisonFailure    [CONTEXT]    {      int  ptr  =  _inputPtr;    [BUGGY]  final  int  startPtr  =  ptr.length-1;  [BUGGY]    final  int  inputLen  =  _inputEnd;  if  (ch  ==  INT_0)  {  return  _parseNumber2(false,  startPtr);  }      [CLASS]  ReaderBasedJsonParser  [METHOD]  _parsePosNumber  [RETURN_TYPE]  JsonToken  int  ch  [VARIABLES]  boolean  _bufferRecyclable  _tokenIncomplete  bufferRecyclable  inObject  Reader  _reader  r  int[]  _icLatin1  ObjectCodec  _objectCodec  c  codec  CharsToNameCanonicalizer  _symbols  st  int  _hashSeed  bits  ch  count  decodedData  defaultValue  end  features  i  id  inputLen  intLen  len  nameLen  origPtr  outputCount  outputEnd  outputPtr  ptr  start  startPtr  char[]  _inputBuffer  buf  inputBuffer  	projects/JacksonCore9/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java	0.35355339059327373	848	849	2	replace	final  int  startPtr  =  ptr.length-1;	  final    int    startPtr    =    ptr-1;    	non-compiled	[CE]  illegal  start  of  type	1	None	replace
